Nombre,233
Apellido,10_12
Edad,18
Sexo,Femenino
Antecendente neurologico?,No
Toma alguna medicacion?,No
Trabaja?,No
Horas de sueño la noche anterior?,5
Dibujar,Alta preferencia de mano derecha
Arrojar un objeto,Preferencia moderada de mano derecha
Escribir,Alta preferencia de mano derecha
Usar tijeras,Alta preferencia de mano derecha
Usa un cepillo de diente,No preferencia
Usar una cuchara,Preferencia moderada de mano derecha
Usar una escoba (La mano que va arriba),No preferencia
Encender un fósforo,Alta preferencia de mano derecha
Abrir una caja (La mano que abre la caja),No preferencia
SYSTEM
System,Windows
Node,u-76627f80a4294
Release,XP
Version,5.1.2600
Machine,x86
Processor,"x86 Family 18 Model 1 Stepping 0, AuthenticAMD"
Screen Width,1280
Screen Height,720
""
Estimulos
Imagenes
ETAPA DE TEST
Num Trial,"Calidad respuesta (1:correcto, 0:error)",Tiempo Resp,Prime,Target,Categoria,Tecla presionada (vacio si no se presiono),Tecla para responder afirmativamente,Tiempo de aparicion del prime
-9,1,1.534288855147679,carro,buho,sra,lctrl,lctrl,0.03337910265145183
-8,1,0.5836529503048951,buho,carro,sro,rctrl,lctrl,0.033264842319113086
-7,1,0.5464719678057008,mapache,violin,sro,rctrl,lctrl,0.03335563598193403
-6,1,0.44304653245035297,pavo,rueda,sro,rctrl,lctrl,0.033320994707537466
-5,1,0.5588799693814508,serpiente,hilo,sro,rctrl,lctrl,0.03338692487432127
-4,1,0.4382934143868624,buho,carro,sro,rctrl,lctrl,0.03347213123470283
-3,1,0.37845536234362953,buho,carro,sro,rctrl,lctrl,0.03346291218531405
-2,1,0.38623121094951784,carro,buho,sra,lctrl,lctrl,0.03339809947920003
-1,1,0.4498515872828648,hilo,serpiente,sra,lctrl,lctrl,0.03339837884504959
0,1,0.4481133775379931,serpiente,hilo,sro,rctrl,lctrl,0.033372118523402605
1,1,0.5111990490413518,avestruz,zapato,nr,rctrl,lctrl,0.03337994074627204
