Nombre,233
Apellido,11_25
Edad,19
Sexo,Femenino
Antecendente neurologico?,No
Toma alguna medicacion?,No
Trabaja?,No
Horas de sueño la noche anterior?,5
Dibujar,Alta preferencia de mano izquierda
Arrojar un objeto,Alta preferencia de mano izquierda
Escribir,Alta preferencia de mano izquierda
Usar tijeras,Alta preferencia de mano izquierda
Usa un cepillo de diente,Alta preferencia de mano izquierda
Usar una cuchara,Alta preferencia de mano izquierda
Usar una escoba (La mano que va arriba),Alta preferencia de mano izquierda
Encender un fósforo,Alta preferencia de mano izquierda
Abrir una caja (La mano que abre la caja),Alta preferencia de mano izquierda
SYSTEM
System,Windows
Node,u-76627f80a4294
Release,XP
Version,5.1.2600
Machine,x86
Processor,"x86 Family 18 Model 1 Stepping 0, AuthenticAMD"
Screen Width,1280
Screen Height,720
""
Estimulos
Imagenes
ETAPA DE TEST
Num Trial,"Calidad respuesta (1:correcto, 0:error)",Tiempo Resp,Prime,Target,Categoria,Tecla presionada (vacio si no se presiono),Tecla para responder afirmativamente,Tiempo de aparicion del prime
-9,1,0.9110744522004097,pavo,rueda,sro,rctrl,lctrl,0.03339223281182058
-8,1,0.5084548455179174,pavo,rueda,sro,rctrl,lctrl,0.03335088677522435
-7,1,0.670504212126616,serpiente,hilo,sro,rctrl,lctrl,0.0333947470971907
-6,1,0.5909963417143445,hilo,pavo,sra,lctrl,lctrl,0.033381058206941816
-5,1,0.554362635475627,carro,buho,sra,lctrl,lctrl,0.033382175666702096
-4,1,0.5747213682170695,buho,carro,sro,rctrl,lctrl,0.033381058206941816
-3,1,0.54265611970186,buho,carro,sro,rctrl,lctrl,0.033362061378284125
-2,1,0.586544937974395,mapache,violin,sro,rctrl,lctrl,0.03340899471731973
-1,1,0.7122002936121135,hilo,pavo,sra,lctrl,lctrl,0.033433299484386225
0,1,0.5780192733982403,hilo,serpiente,sra,lctrl,lctrl,0.03338943916060089
1,1,0.5096301345565735,oveja,cabra,sra,lctrl,lctrl,0.03339642328865011
2,1,0.6366219729043223,gallo,cigarrillo,nr,rctrl,lctrl,0.0333802201130311
3,1,0.5787830576227861,pava,zorro,nr,lctrl,lctrl,0.03339446773316013
4,1,0.5794979529509874,ardilla,vaso,nr,rctrl,lctrl,0.03338804233499104
5,1,0.4984150220207084,jarra,cabra,nr,lctrl,lctrl,0.033380499477061676
6,1,0.5042043052962981,mosca,zorro,wra,lctrl,lctrl,0.03344559154720628
7,1,0.5127489666992915,cuchillo,tenedor,sro,rctrl,lctrl,0.033373235983162886
8,1,0.5436688182435319,jirafa,cebra,sra,lctrl,lctrl,0.033362620108164265
9,1,0.5713404915986757,pinza,mesa,wro,rctrl,lctrl,0.03338524868377135
10,1,0.6147298050436802,conejo,clavo,nr,rctrl,lctrl,0.0334020105892705
11,1,0.6300211339694215,aguila,mono,wra,lctrl,lctrl,0.03338468995389121
12,1,0.7632757794635836,raton,cabra,wra,lctrl,lctrl,0.03335898836303386
13,1,0.4962479868263472,escarabajo,leon,wra,lctrl,lctrl,0.033378264555722126
14,1,0.6207411835857783,taza,cabra,nr,lctrl,lctrl,0.03338720423926134
15,1,0.5333851090017561,candado,cebra,nr,lctrl,lctrl,0.033383293128281366
16,1,0.5428701133805589,tigre,leon,sra,lctrl,lctrl,0.03337630900023214
17,1,0.6435488309271022,ventana,cebra,nr,lctrl,lctrl,0.03339502646304027
18,1,0.7039045465262461,llave,zapato,wro,rctrl,lctrl,0.03335675344169431
19,1,0.5335236740993423,bowl,caballo,nr,lctrl,lctrl,0.03338748360329191
20,1,0.5154222114833829,puerta,mono,nr,lctrl,lctrl,0.033302556610578904
21,1,0.5340907852823875,cuchara,cigarrillo,wro,rctrl,lctrl,0.03337407407889259
22,1,0.6769656478682009,gallina,olla,nr,rctrl,lctrl,0.03336178201425355
23,1,0.5408385702667147,tuerca,gato,nr,lctrl,lctrl,0.03322908358495624
24,1,0.5560139626686578,burro,caballo,sra,lctrl,lctrl,0.033354239156324184
25,1,1.0119861602524907,rinoceronte,tenedor,nr,rctrl,lctrl,0.033409274083169294
26,1,0.5577032835190039,cisne,pato,sra,lctrl,lctrl,0.033383293128281366
27,1,0.4654636273608048,sapo,cebra,wra,lctrl,lctrl,0.03337742646181141
28,1,0.5029845972039766,sarten,olla,sro,rctrl,lctrl,0.033386086779501056
29,1,0.6146432018595078,abeja,gato,wra,lctrl,lctrl,0.033380499477061676
30,1,0.4491920062464487,elefante,mesa,nr,rctrl,lctrl,0.03340312805084977
31,1,0.48062253722127934,sobre,gato,nr,lctrl,lctrl,0.03341514075145824
32,1,0.6020022097782203,escritorio,leon,nr,lctrl,lctrl,0.033413185195968254
33,1,0.504353486267064,tortuga,tornillo,nr,rctrl,lctrl,0.03339418836731056
34,1,0.5068247500730649,cocodrilo,cigarrillo,nr,rctrl,lctrl,0.033386086779501056
35,1,0.5365969697268156,copa,pato,nr,lctrl,lctrl,0.033409274083169294
36,1,0.4864051157346694,arana,caballo,wra,lctrl,lctrl,0.03340620106791903
37,1,0.5188201293749444,regla,clavo,wro,rctrl,lctrl,0.03339055662036117
38,1,0.5705834121363296,mariposa,vaso,nr,rctrl,lctrl,0.03340424551061005
39,1,0.5647879828302393,zorrino,zorro,sra,lctrl,lctrl,0.03338413122219208
40,1,0.47391218716438743,pipa,cigarrillo,sro,rctrl,lctrl,0.03336848677645321
41,1,0.5184533229785302,peine,tornillo,wro,rctrl,lctrl,0.03339446773134114
42,1,0.6100403822274529,oso,olla,nr,rctrl,lctrl,0.033378264555722126
43,1,0.5095832012175379,tijera,leon,nr,lctrl,lctrl,0.033379940745362546
44,1,0.5196453739226854,pinguino,clavo,nr,rctrl,lctrl,0.03337854392157169
45,1,0.5707278439022048,botella,vaso,sro,rctrl,lctrl,0.033370442333762185
46,1,0.44990299046367,destornillador,tornillo,sro,rctrl,lctrl,0.03337407407889259
47,1,0.463836325567172,canguro,mesa,nr,rctrl,lctrl,0.03342743281609728
48,1,0.43278489305157564,hacha,vaso,wro,rctrl,lctrl,0.03338999789048103
49,1,0.507470362854292,martillo,clavo,sro,rctrl,lctrl,0.03346542647341266
50,1,0.48473479171298095,avestruz,zapato,nr,rctrl,lctrl,0.03338077884291124
51,1,0.4248185174365062,media,olla,wro,rctrl,lctrl,0.03333971217034559
52,1,0.7472919044175796,lapiz,zorro,nr,lctrl,lctrl,0.03334921058376494
53,1,0.4628596651255066,gorila,mono,sra,lctrl,lctrl,0.03338245503255166
54,1,0.5170383386721369,cama,mono,nr,lctrl,lctrl,0.0333874836051109
55,1,0.460264363209717,ciervo,tenedor,nr,rctrl,lctrl,0.033382175668521086
56,1,0.4677105609789578,silla,mesa,sro,rctrl,lctrl,0.033372677253282745
57,1,0.5573781025250355,sombrero,tenedor,wro,rctrl,lctrl,0.03339809947829053
58,1,0.5975558346108301,bota,zapato,sro,rctrl,lctrl,0.0332855153374112
59,1,0.547698380660222,chancho,tornillo,nr,rctrl,lctrl,0.033388321700840606
60,1,0.7448611485542642,serrucho,caballo,nr,lctrl,lctrl,0.033384969319740776
61,1,0.5086663249112462,perro,gato,sra,lctrl,lctrl,0.0334542518685339
