Nombre,233
Apellido,14_43
Edad,20
Sexo,Femenino
Antecendente neurologico?,No
Toma alguna medicacion?,Si
Trabaja?,No
Horas de sueño la noche anterior?,Menos de 5
Dibujar,Alta preferencia de mano derecha
Arrojar un objeto,Alta preferencia de mano derecha
Escribir,Alta preferencia de mano derecha
Usar tijeras,Alta preferencia de mano derecha
Usa un cepillo de diente,Alta preferencia de mano derecha
Usar una cuchara,No preferencia
Usar una escoba (La mano que va arriba),No preferencia
Encender un fósforo,Alta preferencia de mano derecha
Abrir una caja (La mano que abre la caja),No preferencia
SYSTEM
System,Windows
Node,u-76627f80a4294
Release,XP
Version,5.1.2600
Machine,x86
Processor,"x86 Family 18 Model 1 Stepping 0, AuthenticAMD"
Screen Width,1280
Screen Height,720
""
Estimulos
Imagenes
ETAPA DE TEST
Num Trial,"Calidad respuesta (1:correcto, 0:error)",Tiempo Resp,Prime,Target,Categoria,Tecla presionada (vacio si no se presiono),Tecla para responder afirmativamente,Tiempo de aparicion del prime
-9,1,1.9241395205253866,carro,buho,sra,rctrl,rctrl,0.033368486777362705
-8,1,0.601851631980935,mapache,violin,sro,lctrl,rctrl,0.03337686773011228
-7,1,0.5043180068969377,hilo,pavo,sra,rctrl,rctrl,0.03341681694109866
-6,1,0.8527508384449902,hilo,serpiente,sra,rctrl,rctrl,0.033381337571881886
-5,1,0.6082736772414137,serpiente,hilo,sro,lctrl,rctrl,0.03338468995389121
-4,1,0.5241068348068438,carro,buho,sra,rctrl,rctrl,0.03340061376547965
-3,1,0.5179420848171503,buho,carro,sro,lctrl,rctrl,0.03339418836731056
-2,1,0.5136923826912607,pavo,rueda,sro,lctrl,rctrl,0.03335675344169431
-1,1,0.4561155118881288,carro,buho,sra,rctrl,rctrl,0.03338720424017083
0,1,0.5678389292488646,buho,carro,sro,lctrl,rctrl,0.03338860106487118
1,1,0.5245588475627301,chancho,tornillo,nr,lctrl,rctrl,0.03335172487004456
2,1,0.414385347858115,jirafa,cebra,sra,rctrl,rctrl,0.033375750269442506
3,1,0.5722414440942885,gallo,cigarrillo,nr,lctrl,rctrl,0.03353889949630684
4,1,0.40368929570649925,perro,gato,sra,rctrl,rctrl,0.03329054390997044
