Nombre,233
Apellido,15_08
Edad,23
Sexo,Masculino
Antecendente neurologico?,No
Toma alguna medicacion?,No
Trabaja?,Si
Horas de sueño la noche anterior?,Mas de 7
Dibujar,Alta preferencia de mano derecha
Arrojar un objeto,Preferencia moderada de mano derecha
Escribir,Preferencia moderada de mano derecha
Usar tijeras,Preferencia moderada de mano derecha
Usa un cepillo de diente,Alta preferencia de mano derecha
Usar una cuchara,Preferencia moderada de mano derecha
Usar una escoba (La mano que va arriba),Preferencia moderada de mano derecha
Encender un fósforo,Preferencia moderada de mano derecha
Abrir una caja (La mano que abre la caja),Preferencia moderada de mano derecha
SYSTEM
System,Windows
Node,u-76627f80a4294
Release,XP
Version,5.1.2600
Machine,x86
Processor,"x86 Family 18 Model 1 Stepping 0, AuthenticAMD"
Screen Width,1280
Screen Height,720
""
Estimulos
Imagenes
ETAPA DE TEST
Num Trial,"Calidad respuesta (1:correcto, 0:error)",Tiempo Resp,Prime,Target,Categoria,Tecla presionada (vacio si no se presiono),Tecla para responder afirmativamente,Tiempo de aparicion del prime
-9,1,1.0591767948153574,hilo,pavo,sra,lctrl,lctrl,0.0333992169398698
-8,1,0.5863295474700863,violin,mapache,sra,lctrl,lctrl,0.03332686137582641
-7,1,0.4725036282543442,hilo,serpiente,sra,lctrl,lctrl,0.033369883602063055
-6,1,0.496134005858039,mapache,violin,sro,rctrl,lctrl,0.03358415664479253
-5,1,0.4391932494199864,carro,buho,sra,lctrl,lctrl,0.033357591537424014
-4,1,0.4283583528085728,hilo,serpiente,sra,lctrl,lctrl,0.03336122328437341
-3,1,0.4707349677137245,buho,carro,sro,rctrl,lctrl,0.03338357249231194
-2,1,0.448517618859114,buho,carro,sro,rctrl,lctrl,0.033360943918523844
-1,0,0.5754820794263651,violin,mapache,sra,rctrl,lctrl,0.03339027725633059
0,1,0.7091663884657464,pavo,rueda,sro,rctrl,lctrl,0.0333992169398698
1,1,0.5995315047039185,sobre,gato,nr,lctrl,lctrl,0.03339698201853025
2,1,0.44439307230459235,jirafa,cebra,sra,lctrl,lctrl,0.03334585820266511
3,1,0.5211771328467876,gallo,cigarrillo,nr,rctrl,lctrl,0.03344307726365514
4,1,0.5500470031802251,canguro,mesa,nr,rctrl,lctrl,0.03339474709900969
5,1,0.6792916418144159,destornillador,tornillo,sro,rctrl,lctrl,0.033384969319740776
6,1,0.5420962720108946,martillo,clavo,sro,rctrl,lctrl,0.0333902772545116
7,1,0.6188454119164817,bowl,caballo,nr,lctrl,lctrl,0.03342743281791627
8,1,0.6823395152168814,abeja,gato,wra,lctrl,lctrl,0.033426594722186564
9,1,0.5536809845943935,taza,cabra,nr,lctrl,lctrl,0.0333478137581551
10,1,0.5090110614601144,raton,cabra,wra,lctrl,lctrl,0.03340061376547965
11,1,0.5267024160893925,zorrino,zorro,sra,lctrl,lctrl,0.03339446773316013
12,1,0.6075990104891389,puerta,mono,nr,lctrl,lctrl,0.03334138835998601
13,1,0.5335314963213023,pava,zorro,nr,lctrl,lctrl,0.03338999789048103
14,1,0.5680808594388509,cuchara,cigarrillo,wro,rctrl,lctrl,0.03346151535879471
15,1,0.6967374345058488,pincel,pato,nr,lctrl,lctrl,0.03335340106059448
16,1,0.5107819569257117,cama,mono,nr,lctrl,lctrl,0.03339502646304027
17,1,0.5495706856581819,chancho,tornillo,nr,rctrl,lctrl,0.03338524868377135
18,1,0.8342744678448071,sarten,olla,sro,rctrl,lctrl,0.033382734398401226
19,1,0.5031332194466813,perro,gato,sra,lctrl,lctrl,0.033199191517269355
20,1,0.5375339603215252,peine,tornillo,wro,rctrl,lctrl,0.033370442331943195
21,1,0.5948806342694297,conejo,clavo,nr,rctrl,lctrl,0.033386645509381196
22,1,0.6158852591597679,copa,pato,nr,lctrl,lctrl,0.033384410588041646
23,1,0.653616032204809,botella,vaso,sro,rctrl,lctrl,0.03341067090877914
24,1,0.5862809379414102,pipa,cigarrillo,sro,rctrl,lctrl,0.03336513439535338
25,1,0.5008770667791396,ardilla,vaso,nr,rctrl,lctrl,0.03335591534778359
26,1,0.5818641754740383,serrucho,caballo,nr,lctrl,lctrl,0.033379940747181536
27,1,0.5807648737481941,pinza,mesa,wro,rctrl,lctrl,0.03349531853928056
28,1,0.5169548085013957,elefante,mesa,nr,rctrl,lctrl,0.03340256932096963
29,1,0.5621443507479853,burro,caballo,sra,lctrl,lctrl,0.033307026453258004
30,1,0.5877255349496409,oveja,cabra,sra,lctrl,lctrl,0.03340033440144907
31,1,0.5660979258536827,gallina,olla,nr,rctrl,lctrl,0.03322992168068595
32,1,0.5154685860907193,lapiz,zorro,nr,lctrl,lctrl,0.033433299484386225
33,1,0.5739994887608191,sombrero,tenedor,wro,rctrl,lctrl,0.03339502646304027
34,1,0.5079092454489,oso,olla,nr,rctrl,lctrl,0.03328942644839117
35,1,0.5274483209450409,camello,zapato,nr,rctrl,lctrl,0.03338580741365149
36,1,0.5515902160750557,rinoceronte,tenedor,nr,rctrl,lctrl,0.033445591549025266
37,1,0.5848656742691674,silla,mesa,sro,rctrl,lctrl,0.03339279154170072
38,1,0.5153451067108108,hacha,vaso,wro,rctrl,lctrl,0.03368249316736183
39,1,0.6082418296173273,hormiga,pato,wra,lctrl,lctrl,0.033352562964864774
40,1,0.5079410930720769,tortuga,tornillo,nr,rctrl,lctrl,0.03340228995693906
41,1,0.5583913597947685,tijera,leon,nr,lctrl,lctrl,0.033381616936821956
42,1,0.5569023437328724,gorila,mono,sra,lctrl,lctrl,0.03335898836303386
43,1,0.5430022530799761,avestruz,zapato,nr,rctrl,lctrl,0.03340955344901886
44,1,0.5385338080668589,pinguino,clavo,nr,rctrl,lctrl,0.03339614392280055
45,1,0.6757769493051455,cuchillo,tenedor,sro,rctrl,lctrl,0.03338552804780193
46,1,0.547198596468661,sapo,cebra,wra,lctrl,lctrl,0.033383851859980496
47,1,0.4675488085777033,regla,clavo,wro,rctrl,lctrl,0.03335731217157445
48,1,0.5477380505071778,escritorio,leon,nr,lctrl,lctrl,0.033365413759383955
49,1,0.4937652690496179,cocodrilo,cigarrillo,nr,rctrl,lctrl,0.03334613756669569
50,1,0.5713145106419688,aguila,mono,wra,lctrl,lctrl,0.03338413122401107
51,1,0.5988828189056221,escarabajo,leon,wra,lctrl,lctrl,0.033372118523402605
52,1,0.5286509877660137,mosca,zorro,wra,lctrl,lctrl,0.03337072169779276
53,1,0.49569931373844156,jarra,cabra,nr,lctrl,lctrl,0.03342855027585756
