Nombre,233
Apellido,19_14
Edad,24
Sexo,Femenino
Antecendente neurologico?,No
Toma alguna medicacion?,Si
Trabaja?,Si
Horas de sueño la noche anterior?,7
Dibujar,Preferencia moderada de mano derecha
Arrojar un objeto,Alta preferencia de mano derecha
Escribir,Alta preferencia de mano derecha
Usar tijeras,Preferencia moderada de mano derecha
Usa un cepillo de diente,Alta preferencia de mano derecha
Usar una cuchara,No preferencia
Usar una escoba (La mano que va arriba),Preferencia moderada de mano derecha
Encender un fósforo,Alta preferencia de mano derecha
Abrir una caja (La mano que abre la caja),No preferencia
SYSTEM
System,Windows
Node,u-76627f80a4294
Release,XP
Version,5.1.2600
Machine,x86
Processor,"x86 Family 18 Model 1 Stepping 0, AuthenticAMD"
Screen Width,1280
Screen Height,720
""
Estimulos
Imagenes
ETAPA DE TEST
Num Trial,"Calidad respuesta (1:correcto, 0:error)",Tiempo Resp,Prime,Target,Categoria,Tecla presionada (vacio si no se presiono),Tecla para responder afirmativamente,Tiempo de aparicion del prime
-9,1,1.1325822136614079,hilo,pavo,sra,lctrl,lctrl,0.0333559153468741
-8,1,0.4475504568317774,violin,mapache,sra,lctrl,lctrl,0.033375470904502436
-7,1,0.4390658589290979,hilo,serpiente,sra,lctrl,lctrl,0.03339558519292041
-6,1,0.35327339089235466,pavo,rueda,sro,rctrl,lctrl,0.033374912174622295
-5,1,0.35581002613434976,violin,mapache,sra,lctrl,lctrl,0.033367089950843365
-4,1,0.42874275920621585,buho,carro,sro,rctrl,lctrl,0.03335004867949465
-3,1,0.5108339188354876,buho,carro,sro,rctrl,lctrl,0.03341234710023855
-2,1,0.40053973340127413,pavo,rueda,sro,rctrl,lctrl,0.033367648681633
-1,1,0.37059263118680974,violin,mapache,sra,lctrl,lctrl,0.0333486518538848
0,0,0.31947049136124406,hilo,pavo,sra,rctrl,lctrl,0.033437210595366196
1,1,0.6286092226800974,pinguino,clavo,nr,rctrl,lctrl,0.03339502646304027
2,0,0.370251805746193,cisne,pato,sra,rctrl,lctrl,0.03340815662340901
3,1,0.5469695170750128,llave,zapato,wro,rctrl,lctrl,0.033409553448109364
4,1,0.37251326635123405,canguro,mesa,nr,rctrl,lctrl,0.033371001063642325
5,1,0.33578988391036546,escarabajo,leon,wra,lctrl,lctrl,0.033383851858161506
6,1,0.3976647870049419,regla,clavo,wro,rctrl,lctrl,0.03339335027158086
7,1,0.4719482504060579,avestruz,zapato,nr,rctrl,lctrl,0.03343553440481628
8,1,0.34289944671763806,jirafa,cebra,sra,lctrl,lctrl,0.033378543920662196
9,1,0.48168077227637696,mariposa,vaso,nr,rctrl,lctrl,0.033369045507242845
10,1,0.3983341458197174,serrucho,caballo,nr,lctrl,lctrl,0.033413185195968254
11,1,0.5612101538044953,tuerca,gato,nr,lctrl,lctrl,0.03340145186029986
12,1,0.5229737299014232,ventana,cebra,nr,lctrl,lctrl,0.03334529947278497
13,1,0.45543246418219496,sombrero,tenedor,wro,rctrl,lctrl,0.033378264555722126
14,1,0.45910443925095024,burro,caballo,sra,lctrl,lctrl,0.03337910265145183
15,1,0.5799731530123609,rinoceronte,tenedor,nr,rctrl,lctrl,0.033374912174622295
16,1,0.5499721333299021,bota,zapato,sro,rctrl,lctrl,0.0333992169398698
17,1,0.4369264808801745,candado,cebra,nr,lctrl,lctrl,0.03340703916273924
18,1,0.4942804183210683,pipa,cigarrillo,sro,rctrl,lctrl,0.03335815026821365
19,1,0.43342212487914367,perro,gato,sra,lctrl,lctrl,0.0334643090109239
20,1,0.6535467496569254,gorila,mono,sra,lctrl,lctrl,0.03336541376029345
21,1,0.4908478591551102,conejo,clavo,nr,rctrl,lctrl,0.033382455033461156
22,1,0.4807728356536245,pincel,pato,nr,lctrl,lctrl,0.03337072169779276
23,1,0.5019408891357671,oveja,cabra,sra,lctrl,lctrl,0.03339642328865011
24,1,0.45604762616494554,ardilla,vaso,nr,rctrl,lctrl,0.03331987724686769
25,1,0.6035130163190843,cuchillo,tenedor,sro,rctrl,lctrl,0.03337658836517221
26,1,0.49196280532851233,tigre,leon,sra,lctrl,lctrl,0.03340564233712939
27,1,0.5135387318778157,escritorio,leon,nr,lctrl,lctrl,0.03336485503041331
28,1,0.5164547449467136,sarten,olla,sro,rctrl,lctrl,0.033378543920662196
29,1,0.5033863242397274,ciervo,tenedor,nr,rctrl,lctrl,0.033377705825841986
30,1,0.5593649472211837,pava,zorro,nr,lctrl,lctrl,0.0333955851938299
31,1,0.5689038690670714,cocodrilo,cigarrillo,nr,rctrl,lctrl,0.03338720424017083
32,1,0.6718990821455009,camello,zapato,nr,rctrl,lctrl,0.03334110899595544
33,1,0.5882381699357211,tortuga,tornillo,nr,rctrl,lctrl,0.033416537577068084
34,1,0.46966444059216883,hormiga,pato,wra,lctrl,lctrl,0.033362620109983254
35,1,0.4087223376154725,media,olla,wro,rctrl,lctrl,0.03341039154383907
36,1,0.39172045609120687,tijera,leon,nr,lctrl,lctrl,0.03345285504201456
37,1,0.48309938832971966,cuchara,cigarrillo,wro,rctrl,lctrl,0.03338441058895114
38,1,0.30455518788039626,puerta,mono,nr,lctrl,lctrl,0.03338804233499104
39,0,0.42290486640104064,raton,cabra,wra,rctrl,lctrl,0.033383572493221436
40,1,0.6084597344079157,elefante,mesa,nr,rctrl,lctrl,0.03337379471395252
41,1,0.5036832893565588,hacha,vaso,wro,rctrl,lctrl,0.03338580741365149
42,1,0.42780465114992694,aguila,mono,wra,lctrl,lctrl,0.03328970581424073
43,1,0.5660979258536827,lapiz,zorro,nr,lctrl,lctrl,0.033383293128281366
44,1,0.47152445352730865,sobre,gato,nr,lctrl,lctrl,0.033381337571881886
45,1,0.4421818974205962,mosca,zorro,wra,lctrl,lctrl,0.033383293128281366
46,1,0.49136580207868974,chancho,tornillo,nr,rctrl,lctrl,0.033354797886204324
47,1,0.5509085651947316,jarra,cabra,nr,lctrl,lctrl,0.033354239156324184
48,1,0.46882271350114024,taza,cabra,nr,lctrl,lctrl,0.033386645509381196
49,1,0.46190898563963856,botella,vaso,sro,rctrl,lctrl,0.03348945187190111
50,1,0.4537861655599045,silla,mesa,sro,rctrl,lctrl,0.03338860106487118
51,1,0.4788223084224228,peine,tornillo,wro,rctrl,lctrl,0.03339586455786048
52,1,0.5152202305043829,sapo,cebra,wra,lctrl,lctrl,0.03340452487645962
53,1,0.5163256782634562,copa,pato,nr,lctrl,lctrl,0.03328942645021016
54,1,0.5297533625080177,cama,mono,nr,lctrl,lctrl,0.03338971852554096
55,1,0.4271419970973511,zorrino,zorro,sra,lctrl,lctrl,0.033380778842001746
56,1,0.45340343535281136,destornillador,tornillo,sro,rctrl,lctrl,0.03346011853500386
57,1,0.44256714191305946,pinza,mesa,wro,rctrl,lctrl,0.03339055662127066
58,1,0.43468178218245157,oso,olla,nr,rctrl,lctrl,0.03337295661913231
59,1,0.4547938355290171,martillo,clavo,sro,rctrl,lctrl,0.03337742645999242
60,1,0.36952601517805306,arana,caballo,wra,lctrl,lctrl,0.03341597884627845
61,1,0.44261072287099523,bowl,caballo,nr,lctrl,lctrl,0.03340424551151955
62,1,0.406950604056874,gallina,olla,nr,rctrl,lctrl,0.03338692487432127
63,1,0.5045423370847857,gallo,cigarrillo,nr,rctrl,lctrl,0.03340592170297896
64,1,0.3847793504482979,abeja,gato,wra,lctrl,lctrl,0.03333105185083696
65,0,0.7733695204278774,cisne,pato,sra,rctrl,lctrl,0.03340592170206946
66,1,0.7279735273614278,conejo,clavo,nr,rctrl,lctrl,0.03339949630480987
67,1,0.480425026085868,canguro,mesa,nr,rctrl,lctrl,0.033371839158462535
68,1,0.5002853714649973,gallina,olla,nr,rctrl,lctrl,0.03339670265359018
69,1,0.4638854938266377,tigre,leon,sra,lctrl,lctrl,0.0333712804276729
70,1,0.6095540075630197,oso,olla,nr,rctrl,lctrl,0.033298086767899804
71,1,0.6682421927926043,botella,vaso,sro,rctrl,lctrl,0.0333983788441401
72,1,0.566218611583281,puerta,mono,nr,lctrl,lctrl,0.033357591537424014
73,1,0.511242071268498,media,olla,wro,rctrl,lctrl,0.03338524868377135
74,1,0.6220516853400113,bota,zapato,sro,rctrl,lctrl,0.033379940747181536
75,1,0.6396097828073835,mosca,zorro,wra,lctrl,lctrl,0.03337658836517221
76,1,0.53189832786029,pipa,cigarrillo,sro,rctrl,lctrl,0.03338329312737187
77,1,0.5435981388691289,rinoceronte,tenedor,nr,rctrl,lctrl,0.03335004867949465
78,1,1.141340310011401,cuchillo,tenedor,sro,rctrl,lctrl,0.033383293128281366
79,1,0.4618807697625016,bowl,caballo,nr,lctrl,lctrl,0.033380499477061676
80,1,0.5420904053444247,raton,cabra,wra,lctrl,lctrl,0.03340173122614942
81,1,0.44005062095857284,gallo,cigarrillo,nr,rctrl,lctrl,0.033380220112121606
82,1,0.403971454472412,aguila,mono,wra,lctrl,lctrl,0.03340592170206946
83,1,0.4498216952151779,pinza,mesa,wro,rctrl,lctrl,0.03340173122523993
84,1,1.0034308829754082,taza,cabra,nr,lctrl,lctrl,0.033429388371587265
85,1,0.4726779520860873,jirafa,cebra,sra,lctrl,lctrl,0.03337630900023214
86,1,0.4664617989155886,cuchara,cigarrillo,wro,rctrl,lctrl,0.03340759789352887
87,1,0.4059236578950731,ventana,cebra,nr,lctrl,lctrl,0.033386645509381196
88,1,0.6661419258598471,pava,zorro,nr,lctrl,lctrl,0.033381616936821956
89,1,0.5461649455446604,peine,tornillo,wro,rctrl,lctrl,0.033414861385608674
90,1,0.5581558550038608,tortuga,tornillo,nr,rctrl,lctrl,0.03338133757279138
91,1,0.5617688840338815,perro,gato,sra,lctrl,lctrl,0.03337100106273283
92,1,0.4936571547505082,pincel,pato,nr,lctrl,lctrl,0.033380778842001746
93,1,0.5346534266227536,sapo,cebra,wra,lctrl,lctrl,0.033380499477061676
94,1,0.37853274648114166,silla,mesa,sro,rctrl,lctrl,0.03339139471609087
95,1,0.5488189141360635,abeja,gato,wra,lctrl,lctrl,0.03341653757615859
96,1,0.511604407822233,lapiz,zorro,nr,lctrl,lctrl,0.03334529947187548
97,1,0.516969894218164,cama,mono,nr,lctrl,lctrl,0.033362899474923324
98,1,0.5856194013485947,sobre,gato,nr,lctrl,lctrl,0.033411509004508844
99,1,0.40819433754859347,ciervo,tenedor,nr,rctrl,lctrl,0.033354518521264254
100,1,0.5510300890191502,candado,cebra,nr,lctrl,lctrl,0.03337267725419224
101,1,0.5248130698173554,copa,pato,nr,lctrl,lctrl,0.03337798519169155
102,1,0.5200328533373977,hacha,vaso,wro,rctrl,lctrl,0.033375750270352
103,1,0.6663000465141522,regla,clavo,wro,rctrl,lctrl,0.03335368042644404
104,1,0.49106967505667853,camello,zapato,nr,rctrl,lctrl,0.033382734398401226
105,1,0.4326580612896578,martillo,clavo,sro,rctrl,lctrl,0.03336988360297255
106,1,0.49536323750635347,tuerca,gato,nr,lctrl,lctrl,0.03340508360633976
