Nombre,233
Apellido,8_25
Edad,19
Sexo,Femenino
Antecendente neurologico?,No
Toma alguna medicacion?,No
Trabaja?,Si
Horas de sueño la noche anterior?,6
Dibujar,Alta preferencia de mano derecha
Arrojar un objeto,Alta preferencia de mano derecha
Escribir,Alta preferencia de mano derecha
Usar tijeras,Alta preferencia de mano derecha
Usa un cepillo de diente,Alta preferencia de mano derecha
Usar una cuchara,Alta preferencia de mano derecha
Usar una escoba (La mano que va arriba),Alta preferencia de mano derecha
Encender un fósforo,Alta preferencia de mano derecha
Abrir una caja (La mano que abre la caja),Alta preferencia de mano derecha
SYSTEM
System,Windows
Node,u-76627f80a4294
Release,XP
Version,5.1.2600
Machine,x86
Processor,"x86 Family 18 Model 1 Stepping 0, AuthenticAMD"
Screen Width,1280
Screen Height,720
""
Estimulos
Imagenes
ETAPA DE TEST
Num Trial,"Calidad respuesta (1:correcto, 0:error)",Tiempo Resp,Prime,Target,Categoria,Tecla presionada (vacio si no se presiono),Tecla para responder afirmativamente,Tiempo de aparicion del prime
-9,0,1.231438632563595,hilo,pavo,sra,rctrl,lctrl,0.033389718525654644
-8,0,0.6884028556702333,buho,carro,sro,lctrl,lctrl,0.0335581756899046
-7,0,0.6670317037501263,mapache,violin,sro,lctrl,lctrl,0.033386086779159996
-6,0,0.46570388135921803,violin,mapache,sra,rctrl,lctrl,0.03325534390546636
-5,0,0.6367633316524461,hilo,pavo,sra,rctrl,lctrl,0.033379102651338144
-4,0,0.5202024279622037,buho,carro,sro,lctrl,lctrl,0.033398937574474985
-3,0,0.4736627141159033,mapache,violin,sro,lctrl,lctrl,0.0333693248722966
-2,0,0.48992567491120553,carro,buho,sra,rctrl,lctrl,0.033362061379307306
-1,0,0.6149887765064932,serpiente,hilo,sro,lctrl,lctrl,0.03335647407698161
0,0,0.5647664717164389,hilo,serpiente,sra,rctrl,lctrl,0.03335647407698161
1,0,0.48140056906675,aguila,mono,wra,rctrl,lctrl,0.033374353444401095
2,0,0.4130485857839403,media,olla,wro,lctrl,lctrl,0.03335535661653921
3,0,0.44704173295770033,hacha,vaso,wro,lctrl,lctrl,0.03338273439783279
4,0,0.44700150438109176,mariposa,vaso,nr,lctrl,lctrl,0.033306188356277744
5,0,0.4708154248654637,canguro,mesa,nr,lctrl,lctrl,0.033334124867792525
6,0,0.5087895249256462,botella,vaso,sro,lctrl,lctrl,0.03336010582347626
7,1,0.38831303978577125,cama,mono,nr,lctrl,lctrl,0.03340787725812788
8,0,0.7362776554003858,lapiz,zorro,nr,rctrl,lctrl,0.03341681694178078
9,0,0.4871535348767111,elefante,mesa,nr,lctrl,lctrl,0.03343944551613731
10,0,0.5028918479862341,taza,cabra,nr,rctrl,lctrl,0.03339586455820154
11,0,0.5191070373468847,sombrero,tenedor,wro,lctrl,lctrl,0.03319751532671944
12,0,0.4040175497165137,cisne,pato,sra,rctrl,lctrl,0.03338580741410624
13,0,0.5318083722931988,tortuga,tornillo,nr,lctrl,lctrl,0.03338133757222295
14,0,0.3821058262991528,pava,zorro,nr,rctrl,lctrl,0.0333659724909694
15,0,0.823435101388668,sarten,olla,sro,lctrl,lctrl,0.033379661381559345
16,1,0.41807157054881827,martillo,clavo,sro,rctrl,lctrl,0.033384410588496394
17,0,0.5034008512254786,candado,cebra,nr,rctrl,lctrl,0.0333793820163919
18,0,0.5520201589866929,silla,mesa,sro,lctrl,lctrl,0.03338692487454864
19,0,0.4622389158398619,jirafa,cebra,sra,rctrl,lctrl,0.03334725502827496
