Nombre,233
Apellido,9_16
Edad,18
Sexo,Femenino
Antecendente neurologico?,No
Toma alguna medicacion?,No
Trabaja?,No
Horas de sueño la noche anterior?,7
Dibujar,Preferencia moderada de mano izquierda
Arrojar un objeto,Alta preferencia de mano izquierda
Escribir,Alta preferencia de mano derecha
Usar tijeras,Alta preferencia de mano izquierda
Usa un cepillo de diente,Alta preferencia de mano izquierda
Usar una cuchara,Alta preferencia de mano izquierda
Usar una escoba (La mano que va arriba),Alta preferencia de mano derecha
Encender un fósforo,Alta preferencia de mano izquierda
Abrir una caja (La mano que abre la caja),Alta preferencia de mano derecha
SYSTEM
System,Windows
Node,u-76627f80a4294
Release,XP
Version,5.1.2600
Machine,x86
Processor,"x86 Family 18 Model 1 Stepping 0, AuthenticAMD"
Screen Width,1280
Screen Height,720
""
Estimulos
Imagenes
ETAPA DE TEST
Num Trial,"Calidad respuesta (1:correcto, 0:error)",Tiempo Resp,Prime,Target,Categoria,Tecla presionada (vacio si no se presiono),Tecla para responder afirmativamente,Tiempo de aparicion del prime
-9,0,0,carro,buho,sra,,lctrl,0.03340452487645962
-8,1,1.3657987258156936,hilo,pavo,sra,lctrl,lctrl,0.03338832169993111
-7,1,0.8319297564357839,pavo,rueda,sro,rctrl,lctrl,0.03311147087151767
-6,1,0.8029847368870833,mapache,violin,sro,rctrl,lctrl,0.0333830137624318
-5,1,0.6822643660016183,hilo,pavo,sra,lctrl,lctrl,0.03340620106700953
-4,1,0.7985755172794597,hilo,serpiente,sra,lctrl,lctrl,0.03345564869232476
-3,1,0.5941453452878704,hilo,pavo,sra,lctrl,lctrl,0.03337658836517221
-2,1,0.5727426251105499,hilo,serpiente,sra,lctrl,lctrl,0.03338804233499104
-1,1,0.7135409667989734,serpiente,hilo,sro,rctrl,lctrl,0.033369045507242845
0,1,0.538432957261648,buho,carro,sro,rctrl,lctrl,0.033371280428582395
1,1,0.5505344953062377,jarra,cabra,nr,lctrl,lctrl,0.033426594720367575
2,1,0.43235327394995693,tuerca,gato,nr,lctrl,lctrl,0.03349001060178125
3,1,0.5528361844872052,copa,pato,nr,lctrl,lctrl,0.03337882328651176
4,1,0.5748674761734947,llave,zapato,wro,rctrl,lctrl,0.03346375028104376
5,1,0.5886619668144704,avestruz,zapato,nr,rctrl,lctrl,0.03340787725846894
6,1,0.4759107651952945,destornillador,tornillo,sro,rctrl,lctrl,0.03340815662340901
7,1,0.4349164488785391,pinguino,clavo,nr,rctrl,lctrl,0.03340675979779917
8,1,0.4922287609178966,mosca,zorro,wra,lctrl,lctrl,0.033364296299623675
9,1,0.38217818186421937,bowl,caballo,nr,lctrl,lctrl,0.033377147095961845
10,1,0.51090850932178,sombrero,tenedor,wro,rctrl,lctrl,0.03337658836517221
11,1,0.5833101693087883,cama,mono,nr,lctrl,lctrl,0.033553147118254856
12,1,0.6051766355776635,mariposa,vaso,nr,rctrl,lctrl,0.033385807414560986
13,1,0.7383421635986451,burro,caballo,sra,lctrl,lctrl,0.033383293128281366
14,1,0.520899723288494,gorila,mono,sra,lctrl,lctrl,0.03340201059018
15,1,0.5447061009144818,conejo,clavo,nr,rctrl,lctrl,0.03285752798183239
16,1,0.5276016923944553,cisne,pato,sra,lctrl,lctrl,0.03337686773011228
17,1,0.6399751923772783,cuchara,cigarrillo,wro,rctrl,lctrl,0.0332357883480654
18,1,0.5315935405196797,ciervo,tenedor,nr,rctrl,lctrl,0.03337882328651176
19,1,0.6098104647380751,tijera,leon,nr,lctrl,lctrl,0.03335815026821365
20,1,0.4952718851136524,escritorio,leon,nr,lctrl,lctrl,0.0333830137624318
21,1,0.6120641031193372,elefante,mesa,nr,rctrl,lctrl,0.03340983281395893
22,1,0.5982237965999957,arana,caballo,wra,lctrl,lctrl,0.03338804233499104
23,1,0.714419011354039,sarten,olla,sro,rctrl,lctrl,0.03341067090877914
24,1,0.4531500511939157,silla,mesa,sro,rctrl,lctrl,0.033362899474923324
25,1,0.41459235740876466,canguro,mesa,nr,rctrl,lctrl,0.033372118523402605
26,1,0.4140221732095597,sapo,cebra,wra,lctrl,lctrl,0.03328383914686128
27,1,0.4707003264384184,media,olla,wro,rctrl,lctrl,0.03339418836731056
28,1,0.503233232157072,martillo,clavo,sro,rctrl,lctrl,0.03335032804443472
29,1,0.5050192133357996,hormiga,pato,wra,lctrl,lctrl,0.033198912152329285
30,1,0.437502811111699,zorrino,zorro,sra,lctrl,lctrl,0.033375191539562366
31,1,0.5712600344459133,pinza,mesa,wro,rctrl,lctrl,0.033371839158462535
32,1,0.5092155567263035,sobre,gato,nr,lctrl,lctrl,0.03340256932096963
33,1,0.5088467947743993,lapiz,zorro,nr,lctrl,lctrl,0.033384131223101576
34,1,0.5831579153209532,taza,cabra,nr,lctrl,lctrl,0.03340173122523993
35,1,0.735548512450805,bota,zapato,sro,rctrl,lctrl,0.03339362963652093
36,1,0.5352764108283736,rinoceronte,tenedor,nr,rctrl,lctrl,0.03350872806458938
37,1,0.43603307124249113,escarabajo,leon,wra,lctrl,lctrl,0.03340005503469001
38,1,0.4895203161295285,cuchillo,tenedor,sro,rctrl,lctrl,0.03334976931455458
39,1,0.48536336322013085,pincel,pato,nr,lctrl,lctrl,0.03337966138133197
40,1,0.5411687798305138,candado,cebra,nr,lctrl,lctrl,0.03338915979566082
41,1,0.4573919310978454,pava,zorro,nr,lctrl,lctrl,0.033388601065780676
42,1,0.46466520186277194,jirafa,cebra,sra,lctrl,lctrl,0.03333887407461589
43,1,0.5323690580789844,puerta,mono,nr,lctrl,lctrl,0.03341514075145824
44,1,0.4628912333828339,regla,clavo,wro,rctrl,lctrl,0.033374912174622295
45,1,0.4780210892722607,serrucho,caballo,nr,lctrl,lctrl,0.033384131223101576
46,1,0.72164171703389,gallo,cigarrillo,nr,rctrl,lctrl,0.03336234074413369
47,1,0.5106506553202053,oso,olla,nr,rctrl,lctrl,0.03339809947920003
48,1,0.4248322063276646,perro,gato,sra,lctrl,lctrl,0.03346235345543391
49,1,0.4897533066350661,hacha,vaso,wro,rctrl,lctrl,0.03337686773011228
50,1,0.564740211395474,chancho,tornillo,nr,rctrl,lctrl,0.03341178837035841
51,1,0.491935148182165,peine,tornillo,wro,rctrl,lctrl,0.03341486138651817
52,1,0.49096379567708937,tortuga,tornillo,nr,rctrl,lctrl,0.03342100741883769
53,1,0.5546987117077151,botella,vaso,sro,rctrl,lctrl,0.03328328041698114
54,1,0.5537706607965447,raton,cabra,wra,lctrl,lctrl,0.03345983916915429
55,1,0.45378085762240516,ventana,cebra,nr,lctrl,lctrl,0.03339279154170072
56,1,0.6556224324604045,camello,zapato,nr,rctrl,lctrl,0.03339083598621073
57,1,0.6385831160105226,pipa,cigarrillo,sro,rctrl,lctrl,0.03340340741578984
58,1,0.49523528828376584,oveja,cabra,sra,lctrl,lctrl,0.03332546454930707
59,1,0.49339287535167387,gallina,olla,nr,rctrl,lctrl,0.03338692487523076
60,1,0.5483579616957286,abeja,gato,wra,lctrl,lctrl,0.033362340745043184
61,1,0.700682349292947,cocodrilo,cigarrillo,nr,rctrl,lctrl,0.033317362961497565
62,1,0.58453239168648,ardilla,vaso,nr,rctrl,lctrl,0.032843280361703364
63,1,0.505292153053233,tigre,leon,sra,lctrl,lctrl,0.0334995090152006
64,1,0.5704630057725808,aguila,mono,wra,lctrl,lctrl,0.0333397121694361
65,1,1.1039671243133853,serrucho,caballo,nr,lctrl,lctrl,0.0333793820163919
66,1,0.45041646354457043,tigre,leon,sra,lctrl,lctrl,0.03340759789261938
67,1,0.39933231737541064,zorrino,zorro,sra,lctrl,lctrl,0.03334753439321503
68,1,0.5323629120457554,ciervo,tenedor,nr,rctrl,lctrl,0.0333793820163919
69,1,0.6568625342042651,destornillador,tornillo,sro,rctrl,lctrl,0.03332630264412728
70,1,0.5222177679006563,raton,cabra,wra,lctrl,lctrl,0.033369045507242845
71,1,0.4296073942359726,escritorio,leon,nr,lctrl,lctrl,0.033360105823703634
72,1,0.42271880923362914,jarra,cabra,nr,lctrl,lctrl,0.03340564233712939
73,1,0.4930160118119602,media,olla,wro,rctrl,lctrl,0.03345564869323425
74,1,0.5190718373423806,bowl,caballo,nr,lctrl,lctrl,0.033374632809682225
75,1,0.4721253678890207,aguila,mono,wra,lctrl,lctrl,0.03345928043927415
76,1,0.5684666626621038,abeja,gato,wra,lctrl,lctrl,0.033382175666702096
77,1,0.5179669483131875,regla,clavo,wro,rctrl,lctrl,0.03340117249535979
78,1,0.8428445514718987,bota,zapato,sro,rctrl,lctrl,0.033420169323107984
79,1,0.5301137435062628,puerta,mono,nr,lctrl,lctrl,0.03337882328651176
80,1,0.5670868783599872,taza,cabra,nr,lctrl,lctrl,0.03336150264931348
81,1,0.5357463029522478,mariposa,vaso,nr,rctrl,lctrl,0.03345676615390403
82,1,0.5012762795277013,tortuga,tornillo,nr,rctrl,lctrl,0.033378543920662196
83,1,0.7852285695526007,perro,gato,sra,lctrl,lctrl,0.03334027090022573
84,1,0.6755744095962655,rinoceronte,tenedor,nr,rctrl,lctrl,0.033376867731021775
85,1,0.5631433603994083,tijera,leon,nr,lctrl,lctrl,0.033375750270352
86,1,0.43583611883605045,martillo,clavo,sro,rctrl,lctrl,0.033413464560908324
87,1,0.5347039917087386,cama,mono,nr,lctrl,lctrl,0.03351710901824845
88,1,0.44545577720145957,burro,caballo,sra,lctrl,lctrl,0.03341849313255807
89,1,0.41983911363058724,peine,tornillo,wro,rctrl,lctrl,0.033366251856023155
90,1,0.4486874728490875,sapo,cebra,wra,lctrl,lctrl,0.033261489938013256
91,1,0.5398222399771839,sarten,olla,sro,rctrl,lctrl,0.03335172487004456
92,1,0.576658765290631,pipa,cigarrillo,sro,rctrl,lctrl,0.033374632809682225
93,1,0.41465549392432877,cisne,pato,sra,lctrl,lctrl,0.03339893757402024
94,1,0.4226562314479452,escarabajo,leon,wra,lctrl,lctrl,0.0333911153511508
95,1,0.475619387379993,pava,zorro,nr,lctrl,lctrl,0.03318103278434137
96,1,0.5367346967277626,ardilla,vaso,nr,rctrl,lctrl,0.03329138200570014
97,1,0.4965893709959346,tuerca,gato,nr,lctrl,lctrl,0.03338468995389121
98,0,0.4839372043097683,mosca,zorro,wra,rctrl,lctrl,0.03338943916060089
99,1,0.6451501517658471,cocodrilo,cigarrillo,nr,rctrl,lctrl,0.033384131223101576
100,1,0.6886919985636268,cuchillo,tenedor,sro,rctrl,lctrl,0.03340731852767931
101,1,0.5051415752568573,hacha,vaso,wro,rctrl,lctrl,0.03319081056451978
102,1,0.6231336664295668,elefante,mesa,nr,rctrl,lctrl,0.03334222645662521
103,1,0.4344063281787385,conejo,clavo,nr,rctrl,lctrl,0.03333943280540552
104,1,0.49197900850504084,canguro,mesa,nr,rctrl,lctrl,0.03351263917647884
105,1,0.6379442079924047,silla,mesa,sro,rctrl,lctrl,0.03339307090664079
106,1,0.44779741559341346,pinguino,clavo,nr,rctrl,lctrl,0.03334948994961451
107,1,0.6148203193415611,lapiz,zorro,nr,lctrl,lctrl,0.033383293128281366
108,1,0.7306978959613843,avestruz,zapato,nr,rctrl,lctrl,0.0333830137624318
109,1,0.5234204347198101,gorila,mono,sra,lctrl,lctrl,0.03341486138651817
110,1,0.5667077798998434,ventana,cebra,nr,lctrl,lctrl,0.033371839158462535
111,1,0.7709884915539078,camello,zapato,nr,rctrl,lctrl,0.03337519154047186
112,1,0.5823019406097956,cuchara,cigarrillo,wro,rctrl,lctrl,0.03333719788406597
113,1,0.4927134593926894,gallina,olla,nr,rctrl,lctrl,0.03340368678163941
114,1,0.527279025685857,candado,cebra,nr,lctrl,lctrl,0.033372397888342675
115,1,0.5656640718298149,copa,pato,nr,lctrl,lctrl,0.033587509026801854
116,1,0.6661313099848485,oveja,cabra,sra,lctrl,lctrl,0.03340117249535979
117,1,0.6233909617003519,hormiga,pato,wra,lctrl,lctrl,0.03343218202371645
118,1,0.5197171707577581,gallo,cigarrillo,nr,rctrl,lctrl,0.033373235983162886
119,1,0.5959542344071451,pinza,mesa,wro,rctrl,lctrl,0.03340508360724925
120,1,0.5003317460732433,sombrero,tenedor,wro,rctrl,lctrl,0.033413743925848394
121,1,0.5893464113451046,pincel,pato,nr,lctrl,lctrl,0.03338524868377135
122,1,1.11394883986668,jirafa,cebra,sra,lctrl,lctrl,0.03338105820785131
123,1,0.5192900214969995,oso,olla,nr,rctrl,lctrl,0.03339055662127066
124,1,0.5772359336169757,arana,caballo,wra,lctrl,lctrl,0.03337016296791262
125,1,0.529323419596949,llave,zapato,wro,rctrl,lctrl,0.0334335788484168
126,1,0.5349157504651885,chancho,tornillo,nr,rctrl,lctrl,0.033369604237122985
127,1,0.5608520077275898,botella,vaso,sro,rctrl,lctrl,0.033372397888342675
128,1,0.5281620988134819,sobre,gato,nr,lctrl,lctrl,0.03340340741578984
129,1,0.5452435993956897,puerta,mono,nr,lctrl,lctrl,0.03340340741578984
130,1,0.4159140337669669,mosca,zorro,wra,lctrl,lctrl,0.03338915979566082
131,1,0.3997924317191064,cisne,pato,sra,lctrl,lctrl,0.033372118523402605
132,1,0.355260794318383,lapiz,zorro,nr,lctrl,lctrl,0.03335619471181417
133,1,0.9526632574807081,arana,caballo,wra,lctrl,lctrl,0.033386086779501056
134,1,0.5001660825610088,hacha,vaso,wro,rctrl,lctrl,0.03338720424017083
135,1,0.5704292025939139,destornillador,tornillo,sro,rctrl,lctrl,0.03335926772797393
136,1,0.3896520367816265,zorrino,zorro,sra,lctrl,lctrl,0.03338776297005097
137,1,0.5573275374390505,avestruz,zapato,nr,rctrl,lctrl,0.03328467724259099
138,1,0.458806077308509,sarten,olla,sro,rctrl,lctrl,0.03337714709505235
139,1,0.36721147520165687,media,olla,wro,rctrl,lctrl,0.03318354707062099
140,1,0.5929544118034755,gorila,mono,sra,lctrl,lctrl,0.033425756625547365
141,0,0.491273890955199,hormiga,pato,wra,rctrl,lctrl,0.0334028486859097
142,1,0.5602818235283848,pava,zorro,nr,lctrl,lctrl,0.033388601065780676
143,1,0.6963778916033334,gallina,olla,nr,rctrl,lctrl,0.033384131223101576
144,1,0.5172987069590818,tuerca,gato,nr,lctrl,lctrl,0.03339335027158086
145,1,0.5062076325339149,sapo,cebra,wra,lctrl,lctrl,0.03340703916273924
146,1,0.5278307717881034,pinguino,clavo,nr,rctrl,lctrl,0.033376029634382576
147,1,0.9493276380098905,llave,zapato,wro,rctrl,lctrl,0.03338804233499104
148,1,0.5352786457497132,bowl,caballo,nr,lctrl,lctrl,0.03291675338641653
149,1,0.7256128921408163,perro,gato,sra,lctrl,lctrl,0.033429667736527335
150,1,0.514597525663703,tijera,leon,nr,lctrl,lctrl,0.03334921058376494
151,1,0.5618102300713872,botella,vaso,sro,rctrl,lctrl,0.03329473438679997
152,1,0.7797653053667091,camello,zapato,nr,rctrl,lctrl,0.03338692487523076
153,1,0.6107387950141856,silla,mesa,sro,rctrl,lctrl,0.03339167408194044
154,1,0.7472575425090326,conejo,clavo,nr,rctrl,lctrl,0.033382734398401226
155,1,0.46921270720213215,burro,caballo,sra,lctrl,lctrl,0.03327964867094124
156,1,0.47744475904073624,escritorio,leon,nr,lctrl,lctrl,0.033410950274628703
157,1,0.4198413485519268,tigre,leon,sra,lctrl,lctrl,0.03354336933898594
158,1,0.633979178917798,cama,mono,nr,lctrl,lctrl,0.03338580741365149
159,1,0.5530697337235324,sombrero,tenedor,wro,rctrl,lctrl,0.03338468995389121
160,1,0.5650248844476664,pipa,cigarrillo,sro,rctrl,lctrl,0.03338552804871142
161,1,0.45837808995293017,ciervo,tenedor,nr,rctrl,lctrl,0.03344363599353528
162,1,0.4796576101152823,canguro,mesa,nr,rctrl,lctrl,0.03338329312737187
163,1,0.5121455380503903,abeja,gato,wra,lctrl,lctrl,0.03339893757402024
164,1,0.783403756622647,pincel,pato,nr,lctrl,lctrl,0.03338524868377135
165,1,0.392129446619947,sobre,gato,nr,lctrl,lctrl,0.03337854392157169
