Nombre,317
Apellido,11_24
Edad,20
Sexo,Femenino
Antecendente neurologico?,No
Toma alguna medicacion?,No
Trabaja?,Si
Horas de sueño la noche anterior?,7
Dibujar,Alta preferencia de mano izquierda
Arrojar un objeto,Alta preferencia de mano izquierda
Escribir,Alta preferencia de mano izquierda
Usar tijeras,Alta preferencia de mano izquierda
Usa un cepillo de diente,Alta preferencia de mano izquierda
Usar una cuchara,Alta preferencia de mano izquierda
Usar una escoba (La mano que va arriba),No preferencia
Encender un fósforo,Alta preferencia de mano izquierda
Abrir una caja (La mano que abre la caja),Alta preferencia de mano izquierda
SYSTEM
System,Windows
Node,u-76627f80a4294
Release,XP
Version,5.1.2600
Machine,x86
Processor,"x86 Family 18 Model 1 Stepping 0, AuthenticAMD"
Screen Width,1280
Screen Height,720
""
Estimulos
Imagenes
ETAPA DE TEST
Num Trial,"Calidad respuesta (1:correcto, 0:error)",Tiempo Resp,Prime,Target,Categoria,Tecla presionada (vacio si no se presiono),Tecla para responder afirmativamente,Tiempo de aparicion del prime
-9,1,0.7563941785901989,buho,carro,sro,rctrl,lctrl,0.03333133121668652
-8,1,0.46357986839029763,violin,mapache,sra,lctrl,lctrl,0.03340396614657948
-7,1,0.4759479207550612,violin,mapache,sra,lctrl,lctrl,0.03337798519169155
-6,1,0.5163756846195611,buho,carro,sro,rctrl,lctrl,0.03338133757279138
-5,1,0.5070122040651768,mapache,violin,sro,rctrl,lctrl,0.03335675344169431
-4,1,0.5197434310775861,hilo,pavo,sra,lctrl,lctrl,0.03336345820571296
-3,1,0.566837405312981,serpiente,hilo,sro,rctrl,lctrl,0.03338943916060089
-2,1,0.5298399656930997,buho,carro,sro,rctrl,lctrl,0.033417096306948224
-1,1,0.49440892627353605,mapache,violin,sro,rctrl,lctrl,0.03336736931487394
0,1,0.4816841246592958,serpiente,hilo,sro,rctrl,lctrl,0.03340117249535979
1,1,0.4713182820723887,oveja,cabra,sra,lctrl,lctrl,0.0332556232715433
2,1,0.4500647428649245,sobre,gato,nr,lctrl,lctrl,0.033382175668521086
3,1,0.46298090958407556,tuerca,gato,nr,lctrl,lctrl,0.03337351534901245
4,1,0.5427843482902972,ardilla,vaso,nr,rctrl,lctrl,0.033380499477061676
5,1,0.4915873386125895,peine,tornillo,wro,rctrl,lctrl,0.033437210595366196
6,1,0.40653379130708345,tigre,leon,sra,lctrl,lctrl,0.03334893121791538
7,1,0.4304714705376682,bowl,caballo,nr,lctrl,lctrl,0.03340731852767931
8,1,0.45299975276066107,perro,gato,sra,lctrl,lctrl,0.03329613121240982
9,1,0.42027883432092494,pincel,pato,nr,lctrl,lctrl,0.03341290583011869
10,1,0.44892996176895394,abeja,gato,wra,lctrl,lctrl,0.03340508360633976
11,1,0.4198150882293703,sombrero,tenedor,wro,rctrl,lctrl,0.03313270261969592
12,1,0.5071862485310703,chancho,tornillo,nr,rctrl,lctrl,0.033382175666702096
13,1,0.42402344432048267,pinguino,clavo,nr,rctrl,lctrl,0.033368766142302775
14,1,0.4918275926138449,gallo,cigarrillo,nr,rctrl,lctrl,0.03340536297218932
15,1,0.4507408064437186,cisne,pato,sra,lctrl,lctrl,0.0332810454947321
16,1,0.395232075583408,cama,mono,nr,lctrl,lctrl,0.03339698201853025
17,1,0.48551114736801537,ciervo,tenedor,nr,rctrl,lctrl,0.033179077228851384
18,1,0.4212853868302773,martillo,clavo,sro,rctrl,lctrl,0.03338860106487118
19,1,0.5687982690542412,llave,zapato,wro,rctrl,lctrl,0.03338468995389121
20,0,0.37937167992095056,taza,cabra,nr,rctrl,lctrl,0.03340201059108949
21,1,0.6013272636591864,arana,caballo,wra,lctrl,lctrl,0.03337239788925217
22,1,0.5513027493725531,ventana,cebra,nr,lctrl,lctrl,0.033369324872182915
23,1,0.5773423717255355,mosca,zorro,wra,lctrl,lctrl,0.03341961059231835
24,1,0.5723914631616935,hacha,vaso,wro,rctrl,lctrl,0.03333859471058531
25,1,0.7565073214609583,elefante,mesa,nr,rctrl,lctrl,0.03338189630267152
26,1,0.6082119375514594,hormiga,pato,wra,lctrl,lctrl,0.0333712804276729
27,1,0.785604036267614,camello,zapato,nr,rctrl,lctrl,0.03338720423926134
28,1,0.6109748585367925,media,olla,wro,rctrl,lctrl,0.03336792804657307
29,1,0.5991043554404314,escarabajo,leon,wra,lctrl,lctrl,0.03354588362344657
30,1,0.5072608390182722,candado,cebra,nr,lctrl,lctrl,0.03336792804839206
31,1,0.5904744876788754,sapo,cebra,wra,lctrl,lctrl,0.03358024553381256
32,1,0.5004602540266205,gorila,mono,sra,lctrl,lctrl,0.033250874063014635
33,1,0.6662229417433991,jirafa,cebra,sra,lctrl,lctrl,0.03331568677094765
34,1,0.5543668259506376,bota,zapato,sro,rctrl,lctrl,0.03340145186120935
35,1,0.5691821167201851,burro,caballo,sra,lctrl,lctrl,0.03340284868500021
36,1,0.6130910492811381,pinza,mesa,wro,rctrl,lctrl,0.03342910900755669
37,1,0.6848465377570392,cocodrilo,cigarrillo,nr,rctrl,lctrl,0.033419889958167914
38,1,0.48242053110152483,serrucho,caballo,nr,lctrl,lctrl,0.03338022011121211
39,1,0.5535876766462025,sarten,olla,sro,rctrl,lctrl,0.033386645509381196
40,1,0.5060796833131462,gallina,olla,nr,rctrl,lctrl,0.03333719788497547
41,1,0.4661880211042444,tortuga,tornillo,nr,rctrl,lctrl,0.03357242331185262
42,1,0.47301710133433517,cuchillo,tenedor,sro,rctrl,lctrl,0.033371559791703476
43,1,0.6291305179838673,escritorio,leon,nr,lctrl,lctrl,0.03337463281059172
44,1,0.5904102337026416,canguro,mesa,nr,rctrl,lctrl,0.033382734396582237
45,1,0.4483360315352911,aguila,mono,wra,lctrl,lctrl,0.03340731852767931
46,1,0.5174808530136943,copa,pato,nr,lctrl,lctrl,0.0334036867825489
47,1,0.49085540201303957,conejo,clavo,nr,rctrl,lctrl,0.033379382017301396
48,1,0.4666827767214272,destornillador,tornillo,sro,rctrl,lctrl,0.0333684867782722
49,1,0.4373058587043488,lapiz,zorro,nr,lctrl,lctrl,0.033357032807543874
50,1,0.5326959152644122,tijera,leon,nr,lctrl,lctrl,0.03338804233499104
51,1,0.45418034973590693,botella,vaso,sro,rctrl,lctrl,0.03335787090327358
52,1,0.43917453195717826,raton,cabra,wra,lctrl,lctrl,0.03345006138988538
53,1,0.5482177204103209,zorrino,zorro,sra,lctrl,lctrl,0.033325464548397576
54,1,0.5064070992266352,silla,mesa,sro,rctrl,lctrl,0.03340284868500021
55,1,0.40660894052234653,regla,clavo,wro,rctrl,lctrl,0.033266518508753506
56,1,0.47508524127988494,pipa,cigarrillo,sro,rctrl,lctrl,0.03338413122219208
57,1,0.5156292210322135,mariposa,vaso,nr,rctrl,lctrl,0.03337966138133197
58,1,0.5164402179598255,puerta,mono,nr,lctrl,lctrl,0.039940551103427424
59,1,0.5676408593844826,avestruz,zapato,nr,rctrl,lctrl,0.03339251217767014
60,1,0.6345817694709694,jarra,cabra,nr,lctrl,lctrl,0.03340117249535979
