Nombre,317
Apellido,11_25
Edad,22
Sexo,Femenino
Antecendente neurologico?,No
Toma alguna medicacion?,No
Trabaja?,No
Horas de sueño la noche anterior?,6
Dibujar,Alta preferencia de mano izquierda
Arrojar un objeto,Alta preferencia de mano izquierda
Escribir,Alta preferencia de mano izquierda
Usar tijeras,Alta preferencia de mano izquierda
Usa un cepillo de diente,Alta preferencia de mano izquierda
Usar una cuchara,Alta preferencia de mano izquierda
Usar una escoba (La mano que va arriba),Alta preferencia de mano izquierda
Encender un fósforo,Alta preferencia de mano izquierda
Abrir una caja (La mano que abre la caja),Alta preferencia de mano izquierda
SYSTEM
System,Windows
Node,u-76627f80a4294
Release,XP
Version,5.1.2600
Machine,x86
Processor,"x86 Family 18 Model 1 Stepping 0, AuthenticAMD"
Screen Width,1280
Screen Height,720
""
Estimulos
Imagenes
ETAPA DE TEST
Num Trial,"Calidad respuesta (1:correcto, 0:error)",Tiempo Resp,Prime,Target,Categoria,Tecla presionada (vacio si no se presiono),Tecla para responder afirmativamente,Tiempo de aparicion del prime
-9,1,1.3587847058770421,carro,buho,sra,lctrl,lctrl,0.03345145821549522
-8,1,0.6541116259195405,mapache,violin,sro,rctrl,lctrl,0.03338133757097239
-7,1,0.8535959179171186,buho,carro,sro,rctrl,lctrl,0.03338636614353163
-6,1,1.0416432814781729,pavo,rueda,sro,rctrl,lctrl,0.03337742646181141
-5,1,0.6397019732958142,hilo,serpiente,sra,lctrl,lctrl,0.03335535661790345
-4,1,0.4889685700272821,serpiente,hilo,sro,rctrl,lctrl,0.03324333120508527
-3,1,0.47601692393982376,mapache,violin,sro,rctrl,lctrl,0.033377705825841986
-2,1,0.4698189295013435,hilo,serpiente,sra,lctrl,lctrl,0.033388321700840606
-1,1,0.42645447954964766,hilo,pavo,sra,lctrl,lctrl,0.033374353444742155
0,1,0.5119670237418177,violin,mapache,sra,lctrl,lctrl,0.03340145185939036
1,1,0.6093654361084191,hacha,vaso,wro,rctrl,lctrl,0.033382734398401226
2,1,0.4680645165790338,conejo,clavo,nr,rctrl,lctrl,0.033381616936821956
3,1,0.4540272576541611,botella,vaso,sro,rctrl,lctrl,0.033372118523402605
4,1,0.3632503572389396,raton,cabra,wra,lctrl,lctrl,0.03339139471609087
5,1,0.36854739918089763,cisne,pato,sra,lctrl,lctrl,0.03340787725755945
6,1,0.390222220981741,mosca,zorro,wra,lctrl,lctrl,0.03335619471181417
7,1,0.4168141481659404,pipa,cigarrillo,sro,rctrl,lctrl,0.03337295661913231
8,1,0.39747649491800985,aguila,mono,wra,lctrl,lctrl,0.033307026451439015
9,1,0.47508244763048424,oso,olla,nr,rctrl,lctrl,0.03328355978192121
10,1,0.45053910482965875,martillo,clavo,sro,rctrl,lctrl,0.0333640169355931
11,1,0.41743350062643003,gallina,olla,nr,rctrl,lctrl,0.03340815662340901
12,1,0.35994211554861977,bowl,caballo,nr,lctrl,lctrl,0.03335619471181417
13,1,0.3256042318225809,serrucho,caballo,nr,lctrl,lctrl,0.0334064804319496
