Nombre,317
Apellido,11_35
Edad,18
Sexo,Femenino
Antecendente neurologico?,No
Toma alguna medicacion?,No
Trabaja?,No
Horas de sueño la noche anterior?,6
Dibujar,Alta preferencia de mano derecha
Arrojar un objeto,Alta preferencia de mano derecha
Escribir,Alta preferencia de mano derecha
Usar tijeras,Alta preferencia de mano derecha
Usa un cepillo de diente,No preferencia
Usar una cuchara,Alta preferencia de mano derecha
Usar una escoba (La mano que va arriba),Alta preferencia de mano derecha
Encender un fósforo,Alta preferencia de mano derecha
Abrir una caja (La mano que abre la caja),Alta preferencia de mano derecha
SYSTEM
System,Windows
Node,u-76627f80a4294
Release,XP
Version,5.1.2600
Machine,x86
Processor,"x86 Family 18 Model 1 Stepping 0, AuthenticAMD"
Screen Width,1280
Screen Height,720
""
Estimulos
Imagenes
ETAPA DE TEST
Num Trial,"Calidad respuesta (1:correcto, 0:error)",Tiempo Resp,Prime,Target,Categoria,Tecla presionada (vacio si no se presiono),Tecla para responder afirmativamente,Tiempo de aparicion del prime
-9,1,1.98419184561169,carro,buho,sra,rctrl,rctrl,0.03336848677690796
-8,0,0,buho,carro,sro,,rctrl,0.03338385185827519
-7,1,0.6650445796882423,hilo,pavo,sra,rctrl,rctrl,0.033383293127940306
-6,1,0.47266621875121473,serpiente,hilo,sro,lctrl,rctrl,0.033385528048938795
-5,1,0.38323418199797743,buho,carro,sro,lctrl,rctrl,0.03340256932096963
-4,1,0.3771795018640205,hilo,pavo,sra,rctrl,rctrl,0.03339195344665313
-3,1,0.48394362970702787,pavo,rueda,sro,lctrl,rctrl,0.03340256932096963
-2,1,0.6314858452680028,serpiente,hilo,sro,lctrl,rctrl,0.033400893130192344
-1,1,0.45981765838951105,pavo,rueda,sro,lctrl,rctrl,0.033393070907095534
0,1,0.388468087424485,pavo,rueda,sro,lctrl,rctrl,0.033379661381559345
1,1,0.4243346570583526,sombrero,tenedor,wro,lctrl,rctrl,0.03334585820266511
2,0,0.507879632746608,lapiz,zorro,nr,lctrl,rctrl,0.03338189630244415
3,1,0.590991592506839,pincel,pato,nr,rctrl,rctrl,0.033353959790929366
4,0,0.6702647962240462,escarabajo,leon,wra,lctrl,rctrl,0.032809756547294455
5,1,0.7420177704149182,bowl,caballo,nr,rctrl,rctrl,0.033383013763000235
6,1,0.755886292810942,pinguino,clavo,nr,lctrl,rctrl,0.03338692487443495
7,1,0.5181407134147094,rinoceronte,tenedor,nr,lctrl,rctrl,0.03323662644277192
8,1,0.7103182108339752,sobre,gato,nr,rctrl,rctrl,0.033357591537424014
9,1,0.5946870342459079,peine,tornillo,wro,lctrl,rctrl,0.033385528048938795
10,1,0.6840277186066714,hacha,vaso,wro,lctrl,rctrl,0.033359267728087616
11,1,0.45338108614373596,oso,olla,nr,lctrl,rctrl,0.033428829641707125
12,1,0.3405653511828177,taza,cabra,nr,rctrl,rctrl,0.03338524868377135
13,1,0.6128628079825376,candado,cebra,nr,rctrl,rctrl,0.03340731852790668
14,1,0.4289408290718484,tuerca,gato,nr,rctrl,rctrl,0.033389718525654644
15,1,0.38297660736213857,jarra,cabra,nr,rctrl,rctrl,0.03338245503266535
16,1,0.5815577119437876,abeja,gato,wra,rctrl,rctrl,0.0333788232861707
17,1,0.5904054844959319,gallo,cigarrillo,nr,lctrl,rctrl,0.033400055034917386
18,1,0.372453482216315,tijera,leon,nr,rctrl,rctrl,0.033353401060708165
19,1,0.35929398848179517,tigre,leon,sra,rctrl,rctrl,0.033390277255875844
20,1,0.5393045764195676,regla,clavo,wro,lctrl,rctrl,0.03340033440008483
21,1,0.462108452331222,conejo,clavo,nr,lctrl,rctrl,0.03332602327952827
22,1,0.40232515585080364,camello,zapato,nr,lctrl,rctrl,0.03335703280720281
23,0,0.2942373960936493,bota,zapato,sro,rctrl,rctrl,0.033401731225694675
24,1,0.4012141207890636,cisne,pato,sra,rctrl,rctrl,0.033381616937276704
25,1,0.45174288911027816,mariposa,vaso,nr,lctrl,rctrl,0.03335703280720281
26,1,0.5696310564611622,cama,mono,nr,rctrl,rctrl,0.03339167408148569
27,1,0.43944719231080853,escritorio,leon,nr,rctrl,rctrl,0.033407039162852925
28,1,0.5939495103427817,media,olla,wro,lctrl,rctrl,0.03337463280956854
29,1,0.619385145318688,gorila,mono,sra,rctrl,rctrl,0.03335368042587561
30,1,1.191696989421871,ardilla,vaso,nr,lctrl,rctrl,0.03338357249310775
31,1,0.3359024680511311,copa,pato,nr,rctrl,rctrl,0.03337910265122446
32,1,0.3274818447596317,pava,zorro,nr,rctrl,rctrl,0.03332378835852978
33,1,0.4172493990157591,zorrino,zorro,sra,rctrl,rctrl,0.03338105820716919
34,1,0.37944627040576506,chancho,tornillo,nr,lctrl,rctrl,0.03305028991110248
35,0,0.4350647917542574,silla,mesa,sro,rctrl,rctrl,0.03340061376513859
36,1,0.4898306907721235,ciervo,tenedor,nr,lctrl,rctrl,0.03340145186052723
37,1,0.5616602110044369,burro,caballo,sra,rctrl,rctrl,0.03342184551388527
38,0,0.38542580132400417,tortuga,tornillo,nr,rctrl,rctrl,0.03331792169126402
39,1,0.8257409810464651,avestruz,zapato,nr,lctrl,rctrl,0.03338748360476984
40,1,0.4469439551675123,elefante,mesa,nr,lctrl,rctrl,0.03337072169779276
41,1,0.4989089395440942,jirafa,cebra,sra,rctrl,rctrl,0.033419331227946714
42,1,0.355187880023891,ventana,cebra,nr,rctrl,rctrl,0.03326372485889806
43,1,0.4312847023853692,llave,zapato,wro,lctrl,rctrl,0.03338971852576833
44,0,0.4033736131268597,cuchillo,tenedor,sro,rctrl,rctrl,0.033347534393328715
45,1,0.42726435901772675,sapo,cebra,wra,rctrl,rctrl,0.03362997252440891
46,1,0.5310563214039803,oveja,cabra,sra,rctrl,rctrl,0.033344182011887824
47,1,0.5312842833377545,arana,caballo,wra,rctrl,rctrl,0.03338524868388504
48,1,0.45635185477487994,mosca,zorro,wra,rctrl,rctrl,0.03339362963720305
49,1,0.34389510398671064,martillo,clavo,sro,lctrl,rctrl,0.03338385185827519
50,1,0.5082573343819377,canguro,mesa,nr,lctrl,rctrl,0.033200867708046644
51,1,0.5812423087292018,puerta,mono,nr,rctrl,rctrl,0.033391394716318246
52,1,0.4063910357322129,serrucho,caballo,nr,rctrl,rctrl,0.03335032804443472
53,1,0.35313789881115554,botella,vaso,sro,lctrl,rctrl,0.033355077251485454
54,1,0.411193322056306,sarten,olla,sro,lctrl,rctrl,0.033980575743498775
55,1,0.33538480449328745,aguila,mono,wra,rctrl,rctrl,0.0333670899514118
56,1,0.5458067994675275,cuchara,cigarrillo,wro,lctrl,rctrl,0.03344894393001141
57,1,0.5364371728809374,pipa,cigarrillo,sro,lctrl,rctrl,0.03335088677465592
58,1,0.47579873978395426,cocodrilo,cigarrillo,nr,lctrl,rctrl,0.03336513439558075
59,1,0.46631597032592254,perro,gato,sra,rctrl,rctrl,0.0333782645559495
60,1,0.48153550241727316,gallina,olla,nr,lctrl,rctrl,0.033439724881304755
61,1,0.3221624536079162,hormiga,pato,wra,rctrl,rctrl,0.033124880396826484
62,1,0.4019932700944082,destornillador,tornillo,sro,lctrl,rctrl,0.03338692487454864
63,1,0.4637304461879239,raton,cabra,wra,rctrl,rctrl,0.0333698836025178
64,1,0.4105097156202646,pinza,mesa,wro,lctrl,rctrl,0.03334585820266511
65,1,0.34261449430027824,botella,vaso,sro,lctrl,rctrl,0.033403686781412034
66,1,0.2527648067003838,bota,zapato,sro,lctrl,rctrl,0.03334948994915976
67,0,0.3146302113816546,escritorio,leon,nr,lctrl,rctrl,0.03335619471181417
68,1,0.5365243347966953,silla,mesa,sro,lctrl,rctrl,0.03340033440008483
69,1,0.6821584866233934,mariposa,vaso,nr,lctrl,rctrl,0.0333872042396024
70,1,0.5286149496654389,pava,zorro,nr,rctrl,rctrl,0.033227128028784136
71,1,0.5100980711235934,peine,tornillo,wro,lctrl,rctrl,0.033385528048938795
72,1,0.5999217777679178,abeja,gato,wra,rctrl,rctrl,0.03340089313030603
73,1,0.6605719441995461,regla,clavo,wro,lctrl,rctrl,0.03336010582358995
74,1,0.37925406720682986,serrucho,caballo,nr,rctrl,rctrl,0.033374353444401095
75,1,0.5662775576224703,puerta,mono,nr,rctrl,rctrl,0.033384410588496394
76,1,0.5663546623941329,tortuga,tornillo,nr,lctrl,rctrl,0.03338468995366384
77,1,0.6105231251458463,gallo,cigarrillo,nr,lctrl,rctrl,0.03337491217439492
78,1,0.45635800080731315,sobre,gato,nr,rctrl,rctrl,0.03331624550060042
79,1,0.551690787516236,pipa,cigarrillo,sro,lctrl,rctrl,0.03337323598407238
80,1,0.70432359419965,hacha,vaso,wro,lctrl,rctrl,0.03335954709336875
81,1,0.5649014050668484,aguila,mono,wra,rctrl,rctrl,0.03336010582347626
82,1,0.63969610662798,burro,caballo,sra,rctrl,rctrl,0.03338189630244415
83,1,0.4027050924071318,arana,caballo,wra,rctrl,rctrl,0.033453972502002216
84,1,1.0037054988831642,escarabajo,leon,wra,rctrl,rctrl,0.033629693159355156
85,1,0.5282148988208064,sarten,olla,sro,lctrl,rctrl,0.03337910265122446
86,1,0.4659547512324025,martillo,clavo,sro,lctrl,rctrl,0.03337742646044717
87,1,0.5244102253218443,media,olla,wro,lctrl,rctrl,0.033176842308193955
88,1,0.5537075242802985,tuerca,gato,nr,rctrl,rctrl,0.03340787725824157
89,1,0.4801705244660752,conejo,clavo,nr,lctrl,rctrl,0.033411229639568774
90,1,0.47523106987068786,tigre,leon,sra,rctrl,rctrl,0.03339251217698802
91,1,0.4113994935109986,camello,zapato,nr,lctrl,rctrl,0.033354518521264254
92,1,0.3233715458250117,raton,cabra,wra,rctrl,rctrl,0.03341011217912637
93,0,0.27957771169258194,copa,pato,nr,lctrl,rctrl,0.03332742010502443
94,1,0.5624661793608539,sombrero,tenedor,wro,lctrl,rctrl,0.03337854392111694
95,1,0.5068666548402234,pinguino,clavo,nr,lctrl,rctrl,0.033431623292926815
96,1,0.44272135145683933,rinoceronte,tenedor,nr,lctrl,rctrl,0.03340508360702188
97,1,0.5189112024013411,oso,olla,nr,lctrl,rctrl,0.03334641693277263
98,1,0.5223423647416894,elefante,mesa,nr,lctrl,rctrl,0.033376588365399584
99,1,0.5789157560527656,ardilla,vaso,nr,lctrl,rctrl,0.033353959790929366
