Nombre,317
Apellido,12_17
Edad,20
Sexo,Femenino
Antecendente neurologico?,No
Toma alguna medicacion?,No
Trabaja?,Si
Horas de sueño la noche anterior?,6
Dibujar,Alta preferencia de mano izquierda
Arrojar un objeto,Alta preferencia de mano izquierda
Escribir,Alta preferencia de mano izquierda
Usar tijeras,Alta preferencia de mano izquierda
Usa un cepillo de diente,Preferencia moderada de mano izquierda
Usar una cuchara,Alta preferencia de mano izquierda
Usar una escoba (La mano que va arriba),Preferencia moderada de mano izquierda
Encender un fósforo,Alta preferencia de mano izquierda
Abrir una caja (La mano que abre la caja),No preferencia
SYSTEM
System,Windows
Node,u-76627f80a4294
Release,XP
Version,5.1.2600
Machine,x86
Processor,"x86 Family 18 Model 1 Stepping 0, AuthenticAMD"
Screen Width,1280
Screen Height,720
""
Estimulos
Imagenes
ETAPA DE TEST
Num Trial,"Calidad respuesta (1:correcto, 0:error)",Tiempo Resp,Prime,Target,Categoria,Tecla presionada (vacio si no se presiono),Tecla para responder afirmativamente,Tiempo de aparicion del prime
-9,1,0.8826283787457214,pavo,rueda,sro,lctrl,rctrl,0.03335898836303386
-8,1,0.48745301427879895,pavo,rueda,sro,lctrl,rctrl,0.03339558519292041
-7,0,0.5144151002423314,mapache,violin,sro,rctrl,rctrl,0.033379940745362546
-6,1,0.5920163037480961,buho,carro,sro,lctrl,rctrl,0.03340424551061005
-5,1,0.580869915031144,violin,mapache,sra,rctrl,rctrl,0.03333440423375578
-4,1,0.7343679154764686,buho,carro,sro,lctrl,rctrl,0.03359421378991101
-3,1,0.5446074850297009,violin,mapache,sra,rctrl,rctrl,0.03338692487523076
-2,1,0.7970289520053484,mapache,violin,sro,lctrl,rctrl,0.033144715318485396
-1,1,0.8678572276658088,serpiente,hilo,sro,lctrl,rctrl,0.03336513439535338
0,1,0.6266642827504256,hilo,pavo,sra,rctrl,rctrl,0.03338524868559034
1,1,0.6308145308958046,gorila,mono,sra,rctrl,rctrl,0.03357521696125332
2,1,0.5661920718976035,oso,olla,nr,lctrl,rctrl,0.033377147095961845
3,1,0.77954069581574,mariposa,vaso,nr,lctrl,rctrl,0.03339893757402024
4,1,0.6843970392874326,burro,caballo,sra,rctrl,rctrl,0.03340228995693906
5,1,0.6015999240134988,sapo,cebra,wra,rctrl,rctrl,0.03340508360633976
6,1,0.5256793810385716,media,olla,wro,lctrl,rctrl,0.03337575026853301
7,1,0.9189606500258378,regla,clavo,wro,lctrl,rctrl,0.03355482330880477
8,1,0.4571757024987164,pincel,pato,nr,rctrl,rctrl,0.03341681694291765
9,1,0.5246904285322671,cisne,pato,sra,rctrl,rctrl,0.03337351534901245
10,1,0.6291307973497169,peine,tornillo,wro,lctrl,rctrl,0.033326582009976846
11,1,0.5794177751631651,arana,caballo,wra,rctrl,rctrl,0.03339670265268069
12,1,0.6878089254350925,avestruz,zapato,nr,lctrl,rctrl,0.03346682329720352
13,1,0.4547466228250414,oveja,cabra,sra,rctrl,rctrl,0.033388880430720747
14,1,0.7596756012280821,sombrero,tenedor,wro,lctrl,rctrl,0.03336234074413369
15,1,0.49129428460764757,serrucho,caballo,nr,rctrl,rctrl,0.03335507725205389
16,1,1.2409158147183916,candado,cebra,nr,rctrl,rctrl,0.02384409191654413
17,1,0.650230127013856,ciervo,tenedor,nr,lctrl,rctrl,0.033363178839863394
18,1,0.6472470663175045,perro,gato,sra,rctrl,rctrl,0.03328411851362034
19,1,0.5559977594912198,copa,pato,nr,rctrl,rctrl,0.03333021375692624
20,1,0.6811742833233438,silla,mesa,sro,lctrl,rctrl,0.03351180108256813
21,1,0.643040107052002,jarra,cabra,nr,rctrl,rctrl,0.03371098840761988
22,1,0.6158576020134205,lapiz,zorro,nr,rctrl,rctrl,0.033382175668521086
23,1,0.6762940541320859,camello,zapato,nr,lctrl,rctrl,0.03334613756669569
24,1,0.5883974080497865,rinoceronte,tenedor,nr,lctrl,rctrl,0.03340927408498828
25,1,0.8035987814091641,chancho,tornillo,nr,lctrl,rctrl,0.03338357249231194
26,1,0.543669376973412,pinguino,clavo,nr,lctrl,rctrl,0.03336904550815234
27,1,0.5587344201576343,martillo,clavo,sro,lctrl,rctrl,0.033299762959359214
28,1,0.6168370561063057,gallina,olla,nr,lctrl,rctrl,0.03339726138256083
29,1,0.6381355730954965,taza,cabra,nr,rctrl,rctrl,0.033355915345964604
30,1,0.7178814625876839,mosca,zorro,wra,rctrl,rctrl,0.0333802201130311
31,1,0.5435433833063144,escritorio,leon,nr,rctrl,rctrl,0.03336066455449327
32,1,0.7185022118719644,gallo,cigarrillo,nr,lctrl,rctrl,0.0333522836008342
33,1,0.5838026900073601,pinza,mesa,wro,lctrl,rctrl,0.03335032804534421
34,1,0.5530686162637721,zorrino,zorro,sra,rctrl,rctrl,0.03338077884109225
35,1,0.5272530447309691,hacha,vaso,wro,lctrl,rctrl,0.03340173122523993
36,1,0.4923622974438331,raton,cabra,wra,rctrl,rctrl,0.03340536297218932
37,1,1.7760195779064816,sarten,olla,sro,lctrl,rctrl,0.03335675344169431
38,1,1.3567526040314988,sobre,gato,nr,rctrl,rctrl,0.03332686137582641
39,1,0.747827167979267,cuchara,cigarrillo,wro,lctrl,rctrl,0.03334725502827496
40,1,0.9048004704509367,abeja,gato,wra,rctrl,rctrl,0.03339754075022938
41,1,1.2546709148791706,llave,zapato,wro,lctrl,rctrl,0.033375750270352
42,1,0.664893443161418,bowl,caballo,nr,rctrl,rctrl,0.03340759789352887
43,1,0.7534365401188552,ventana,cebra,nr,rctrl,rctrl,0.03334976931364508
44,1,0.5616903824375186,pipa,cigarrillo,sro,lctrl,rctrl,0.03345872170939401
45,1,0.6973422599803598,tigre,leon,sra,rctrl,rctrl,0.03339642328865011
46,1,0.6550047561904648,bota,zapato,sro,lctrl,rctrl,0.033379382017301396
47,1,0.5974977266669157,tijera,leon,nr,rctrl,rctrl,0.03337016296791262
48,1,0.5982293839024351,destornillador,tornillo,sro,lctrl,rctrl,0.033327699469737126
49,1,1.054753886317485,cocodrilo,cigarrillo,nr,lctrl,rctrl,0.03337463281059172
50,1,0.5621097094735887,aguila,mono,wra,rctrl,rctrl,0.03345564869414375
51,1,0.7971655615438067,botella,vaso,sro,lctrl,rctrl,0.033498950286229956
52,1,0.5647092018680269,pava,zorro,nr,rctrl,rctrl,0.03335535661790345
53,1,1.3033237464533158,cama,mono,nr,rctrl,rctrl,0.033365972491083085
54,1,0.7768786256347084,jirafa,cebra,sra,rctrl,rctrl,0.033375470904502436
55,1,0.582058892960049,cuchillo,tenedor,sro,lctrl,rctrl,0.033384969319740776
56,1,0.6259141874179477,conejo,clavo,nr,lctrl,rctrl,0.03339949630571937
57,1,0.5486269903030916,tuerca,gato,nr,rctrl,rctrl,0.033379940747181536
58,1,0.665207170186477,puerta,mono,nr,rctrl,rctrl,0.03338077884291124
59,1,0.5511633461792371,ardilla,vaso,nr,lctrl,rctrl,0.0333830137624318
60,1,0.7488940633520542,canguro,mesa,nr,lctrl,rctrl,0.033371001061823335
61,1,0.46647017986833816,escarabajo,leon,wra,rctrl,rctrl,0.03337686773193127
62,1,0.7683663705865911,tortuga,tornillo,nr,lctrl,rctrl,0.03345229631122493
63,1,0.6317624167313625,elefante,mesa,nr,lctrl,rctrl,0.03332574391424714
64,1,0.8232529553333734,hormiga,pato,wra,rctrl,rctrl,0.033415978845368954
65,1,0.5722551329836278,gorila,mono,sra,rctrl,rctrl,0.03338413122219208
66,1,0.5560483245772048,cama,mono,nr,rctrl,rctrl,0.03343860742097604
67,1,0.5739290887522657,bowl,caballo,nr,rctrl,rctrl,0.03311007404590782
68,1,0.589006424001127,arana,caballo,wra,rctrl,rctrl,0.03338692487523076
69,1,0.49979368886306474,oveja,cabra,sra,rctrl,rctrl,0.03331009946850827
70,1,0.7454154089409712,hormiga,pato,wra,rctrl,rctrl,0.0334173756709788
71,1,0.7878135349601507,gallina,olla,nr,lctrl,rctrl,0.03335144550510449
72,1,0.4807152864395903,copa,pato,nr,rctrl,rctrl,0.03338077884291124
73,1,0.6563661023956229,candado,cebra,nr,rctrl,rctrl,0.03335144550510449
74,1,0.6193566500769521,lapiz,zorro,nr,rctrl,rctrl,0.033373235983162886
75,1,0.6657734432737925,pinza,mesa,wro,lctrl,rctrl,0.033525489970998024
76,1,0.9275195590507792,martillo,clavo,sro,lctrl,rctrl,0.03339698201853025
77,1,0.7187880023866455,tijera,leon,nr,rctrl,rctrl,0.033441680438045296
78,1,0.6536297210968769,elefante,mesa,nr,lctrl,rctrl,0.03337686773011228
79,1,0.5579365533885721,jarra,cabra,nr,rctrl,rctrl,0.03343693122951663
80,1,0.5809995404451911,conejo,clavo,nr,lctrl,rctrl,0.03339335027339985
81,1,0.6233459839168063,pava,zorro,nr,rctrl,rctrl,0.03339586455695098
82,1,0.5752557936848461,llave,zapato,wro,lctrl,rctrl,0.033377147095961845
83,1,0.6683567324889736,burro,caballo,sra,rctrl,rctrl,0.03334250582156528
84,1,0.5589411503424344,destornillador,tornillo,sro,lctrl,rctrl,0.03336569312523352
85,1,0.9112320141248347,pincel,pato,nr,rctrl,rctrl,0.03337519154047186
86,1,0.5695184723190323,mariposa,vaso,nr,lctrl,rctrl,0.0332855153374112
87,1,0.6212691836535669,jirafa,cebra,sra,rctrl,rctrl,0.033377147095961845
88,1,0.6305745562640368,canguro,mesa,nr,lctrl,rctrl,0.033138010558104725
89,1,0.6186135388725233,pipa,cigarrillo,sro,lctrl,rctrl,0.03340452487827861
90,1,0.6886210398261028,botella,vaso,sro,lctrl,rctrl,0.03339139471609087
91,1,0.4992433395855187,gallo,cigarrillo,nr,lctrl,rctrl,0.03339335027339985
92,1,0.4765792859143403,cuchara,cigarrillo,wro,lctrl,rctrl,0.0331662264343322
93,1,0.5622932523547206,tuerca,gato,nr,rctrl,rctrl,0.03340424551061005
94,1,0.5636247064921918,puerta,mono,nr,rctrl,rctrl,0.03339698201853025
95,1,0.5937176372972317,oso,olla,nr,lctrl,rctrl,0.03335395979047462
96,1,0.7697184977423603,abeja,gato,wra,rctrl,rctrl,0.03321455659897765
