Nombre,317
Apellido,19_31
Edad,22
Sexo,Femenino
Antecendente neurologico?,No
Toma alguna medicacion?,No
Trabaja?,Si
Horas de sueño la noche anterior?,7
Dibujar,Alta preferencia de mano derecha
Arrojar un objeto,Preferencia moderada de mano derecha
Escribir,Alta preferencia de mano derecha
Usar tijeras,Alta preferencia de mano derecha
Usa un cepillo de diente,Preferencia moderada de mano derecha
Usar una cuchara,Alta preferencia de mano derecha
Usar una escoba (La mano que va arriba),No preferencia
Encender un fósforo,Preferencia moderada de mano derecha
Abrir una caja (La mano que abre la caja),No preferencia
SYSTEM
System,Windows
Node,u-76627f80a4294
Release,XP
Version,5.1.2600
Machine,x86
Processor,"x86 Family 18 Model 1 Stepping 0, AuthenticAMD"
Screen Width,1280
Screen Height,720
""
Estimulos
Imagenes
ETAPA DE TEST
Num Trial,"Calidad respuesta (1:correcto, 0:error)",Tiempo Resp,Prime,Target,Categoria,Tecla presionada (vacio si no se presiono),Tecla para responder afirmativamente,Tiempo de aparicion del prime
-9,0,0,serpiente,hilo,sro,,rctrl,0.03336485503041331
-8,1,0.8022315685366266,violin,mapache,sra,rctrl,rctrl,0.033357032807543874
-7,1,0.6428758403644679,hilo,serpiente,sra,rctrl,rctrl,0.033143318493785046
-6,1,0.46277166511390533,buho,carro,sro,lctrl,rctrl,0.03309107721725013
-5,1,0.5064923055861072,hilo,pavo,sra,rctrl,rctrl,0.03325394708008389
-4,1,0.5418979227806631,mapache,violin,sro,lctrl,rctrl,0.033374632809682225
-3,1,0.42700343200067437,carro,buho,sra,rctrl,rctrl,0.033376588366081705
-2,1,0.4917798211781701,carro,buho,sra,rctrl,rctrl,0.033410950274628703
-1,1,0.5910052813978837,hilo,pavo,sra,rctrl,rctrl,0.033364016934683605
0,1,0.4747650888593853,serpiente,hilo,sro,lctrl,rctrl,0.03338580741365149
1,1,0.5009857398081294,tijera,leon,nr,rctrl,rctrl,0.03339726138347032
2,1,0.4407442845395053,mariposa,vaso,nr,lctrl,rctrl,0.033381896301762026
3,1,0.6162082052323967,pipa,cigarrillo,sro,lctrl,rctrl,0.033298924862720014
4,1,0.4299272672915322,escritorio,leon,nr,rctrl,rctrl,0.033592258234421024
5,1,0.574446193581025,llave,zapato,wro,lctrl,rctrl,0.03338524868377135
6,1,0.47537661909518647,gallo,cigarrillo,nr,lctrl,rctrl,0.03341039154474856
7,1,0.4781593750039974,rinoceronte,tenedor,nr,lctrl,rctrl,0.03337966138133197
8,1,0.5555689340399113,silla,mesa,sro,lctrl,rctrl,0.033380778842001746
9,1,0.5727498886026297,gallina,olla,nr,lctrl,rctrl,0.03336234074413369
10,1,0.4332458454919106,ardilla,vaso,nr,lctrl,rctrl,0.0333992169398698
11,1,0.46668054180008767,martillo,clavo,sro,lctrl,rctrl,0.03338161693773145
12,1,0.39334971344123915,media,olla,wro,lctrl,rctrl,0.03321790898007748
13,1,0.5752259016162498,aguila,mono,wra,rctrl,rctrl,0.03327629628893192
14,1,0.5878177254371622,lapiz,zorro,nr,rctrl,rctrl,0.03340173122523993
15,1,0.4770885685193207,sobre,gato,nr,rctrl,rctrl,0.033357591537424014
16,1,0.42800579403228767,botella,vaso,sro,lctrl,rctrl,0.03335340106059448
17,1,0.4413298338195091,ciervo,tenedor,nr,lctrl,rctrl,0.03338245503255166
18,1,0.5212204344406928,bowl,caballo,nr,rctrl,rctrl,0.0333947470981002
19,1,0.42774766066668235,zorrino,zorro,sra,rctrl,rctrl,0.03339195344688051
20,1,0.4601235631898817,copa,pato,nr,rctrl,rctrl,0.03342575662463787
21,1,0.4674278434831649,chancho,tornillo,nr,lctrl,rctrl,0.03334166772583558
22,1,0.4367253379969043,tortuga,tornillo,nr,lctrl,rctrl,0.03311957245932717
23,1,0.5220937297899582,pava,zorro,nr,rctrl,rctrl,0.033301159784059564
24,1,0.4629188905291812,pinza,mesa,wro,lctrl,rctrl,0.033533312194776954
25,1,0.5397121701216747,regla,clavo,wro,lctrl,rctrl,0.033380778842001746
26,1,0.6704701295839186,raton,cabra,wra,rctrl,rctrl,0.03336988360297255
27,1,0.39299659593598335,conejo,clavo,nr,lctrl,rctrl,0.03336262010907376
28,1,0.4717342567282685,tuerca,gato,nr,rctrl,rctrl,0.033071242294681724
29,1,0.4140908970275632,bota,zapato,sro,lctrl,rctrl,0.033384131223101576
30,1,0.5395979097902455,sapo,cebra,wra,rctrl,rctrl,0.03335926772797393
31,1,0.554058965594777,avestruz,zapato,nr,lctrl,rctrl,0.03338524868377135
32,1,0.4899566844387664,oveja,cabra,sra,rctrl,rctrl,0.03339307090755028
33,1,0.636935979293412,escarabajo,leon,wra,rctrl,rctrl,0.03338971852554096
34,1,0.4789267909754926,abeja,gato,wra,rctrl,rctrl,0.03339027725633059
35,1,0.49443155484823365,peine,tornillo,wro,lctrl,rctrl,0.03340061376547965
36,1,0.48609502045565023,cocodrilo,cigarrillo,nr,lctrl,rctrl,0.03340703916273924
37,1,0.5183711896343084,cuchillo,tenedor,sro,lctrl,rctrl,0.03338524868377135
38,1,0.45260892096575844,pincel,pato,nr,rctrl,rctrl,0.03336150264931348
39,1,0.4686380531602481,cisne,pato,sra,rctrl,rctrl,0.03340173122614942
40,1,0.36673404022076284,cuchara,cigarrillo,wro,lctrl,rctrl,0.033375750270352
