Nombre,317
Apellido,8_58
Edad,18
Sexo,Femenino
Antecendente neurologico?,No
Toma alguna medicacion?,No
Trabaja?,No
Horas de sueño la noche anterior?,5
Dibujar,Alta preferencia de mano derecha
Arrojar un objeto,Alta preferencia de mano derecha
Escribir,Alta preferencia de mano derecha
Usar tijeras,Alta preferencia de mano derecha
Usa un cepillo de diente,Alta preferencia de mano derecha
Usar una cuchara,Alta preferencia de mano derecha
Usar una escoba (La mano que va arriba),Alta preferencia de mano derecha
Encender un fósforo,Alta preferencia de mano derecha
Abrir una caja (La mano que abre la caja),Alta preferencia de mano derecha
SYSTEM
System,Windows
Node,u-76627f80a4294
Release,XP
Version,5.1.2600
Machine,x86
Processor,"x86 Family 18 Model 1 Stepping 0, AuthenticAMD"
Screen Width,1280
Screen Height,720
""
Estimulos
Imagenes
ETAPA DE TEST
Num Trial,"Calidad respuesta (1:correcto, 0:error)",Tiempo Resp,Prime,Target,Categoria,Tecla presionada (vacio si no se presiono),Tecla para responder afirmativamente,Tiempo de aparicion del prime
-9,1,1.3846815726579962,carro,buho,sra,rctrl,rctrl,0.03338245503266535
-8,1,0.5700456342915459,hilo,serpiente,sra,rctrl,rctrl,0.03340564233724308
-7,1,0.4371851729758873,violin,mapache,sra,rctrl,rctrl,0.033274899463549445
-6,1,0.6545119561284309,pavo,rueda,sro,lctrl,rctrl,0.03338413122344264
-5,1,0.47402309511403473,mapache,violin,sro,lctrl,rctrl,0.03338301376288655
-4,0,0.5759259905938734,buho,carro,sro,rctrl,rctrl,0.033369604237464046
-3,1,0.5133727889997317,hilo,pavo,sra,rctrl,rctrl,0.033370162967685246
-2,1,0.45357217188211507,carro,buho,sra,rctrl,rctrl,0.033374353444401095
-1,1,0.6648736082379401,hilo,pavo,sra,rctrl,rctrl,0.03338217566761159
0,1,0.6723374060111382,violin,mapache,sra,rctrl,rctrl,0.0333883217000448
1,1,0.5535368321951637,jarra,cabra,nr,rctrl,rctrl,0.0332830010518137
2,1,0.7646368463031195,mariposa,vaso,nr,lctrl,rctrl,0.033372677253623806
3,1,0.5780857622966096,regla,clavo,wro,lctrl,rctrl,0.03335731217237026
4,1,0.5696651390051102,sarten,olla,sro,lctrl,rctrl,0.0333659724909694
5,1,0.5898718971264998,ventana,cebra,nr,rctrl,rctrl,0.033437489960306266
6,1,0.5365936173451473,pinza,mesa,wro,lctrl,rctrl,0.03342910900687457
7,1,0.5863471474726794,puerta,mono,nr,rctrl,rctrl,0.033375470904843496
8,1,0.6364146839891873,arana,caballo,wra,rctrl,rctrl,0.03335619471181417
9,1,0.6453342533757223,conejo,clavo,nr,lctrl,rctrl,0.03336038518853002
10,1,0.5304520546606,canguro,mesa,nr,lctrl,rctrl,0.03342799154643217
11,1,0.5782930512117446,cama,mono,nr,rctrl,rctrl,0.0333799407466131
12,1,0.7414808306642726,destornillador,tornillo,sro,lctrl,rctrl,0.03337239788857005
13,1,0.5882842651789133,lapiz,zorro,nr,rctrl,rctrl,0.03341318519528613
14,1,0.6162383766651374,rinoceronte,tenedor,nr,lctrl,rctrl,0.03339865820942123
15,1,0.7463141265160402,pincel,pato,nr,rctrl,rctrl,0.03334921058399232
16,1,0.6590508011493057,camello,zapato,nr,lctrl,rctrl,0.03343441694403282
17,1,0.5664733925680139,raton,cabra,wra,rctrl,rctrl,0.03337966138144566
18,1,0.5249049809402777,abeja,gato,wra,rctrl,rctrl,0.033359267728087616
19,1,0.6804367594205587,jirafa,cebra,sra,rctrl,rctrl,0.033388880430379686
20,1,0.6890171795577089,gorila,mono,sra,rctrl,rctrl,0.033378543921003256
21,1,0.9165346433694594,avestruz,zapato,nr,lctrl,rctrl,0.03325143279391796
22,1,0.5320427596244599,escritorio,leon,nr,rctrl,rctrl,0.03335228360037945
23,1,0.604185448150588,cocodrilo,cigarrillo,nr,lctrl,rctrl,0.03339335027214929
24,1,0.48153075321022243,oso,olla,nr,lctrl,rctrl,0.033375470904843496
25,1,0.4867247094254026,tortuga,tornillo,nr,lctrl,rctrl,0.03338860106521224
26,1,0.4169066180198797,candado,cebra,nr,rctrl,rctrl,0.0333793820163919
27,1,0.4347971599743232,copa,pato,nr,rctrl,rctrl,0.03326428358911926
28,1,0.615517894034042,ardilla,vaso,nr,lctrl,rctrl,0.033438607420862354
29,1,0.5279265940224604,aguila,mono,wra,rctrl,rctrl,0.0331782391338038
30,1,0.5653050876578618,burro,caballo,sra,rctrl,rctrl,0.033377426460560855
31,1,0.5078282295654617,gallo,cigarrillo,nr,lctrl,rctrl,0.03334781375849616
32,1,0.5234293744038041,pinguino,clavo,nr,lctrl,rctrl,0.03335395979104305
33,1,0.47889298779591627,martillo,clavo,sro,lctrl,rctrl,0.033377426460560855
34,1,0.8797939402913926,oveja,cabra,sra,rctrl,rctrl,0.033235229617162076
35,1,0.5265783779782396,zorrino,zorro,sra,rctrl,rctrl,0.03338105820716919
36,1,0.6015895875034403,ciervo,tenedor,nr,lctrl,rctrl,0.03338915979554713
37,1,0.5679758181556736,llave,zapato,wro,lctrl,rctrl,0.03336178201413986
38,1,0.7652126178047638,serrucho,caballo,nr,rctrl,rctrl,0.0334724105996429
39,1,0.5682258499334694,cuchara,cigarrillo,wro,lctrl,rctrl,0.03338133757233663
40,1,0.6510268763208842,sobre,gato,nr,rctrl,rctrl,0.03337658836517221
41,1,0.5854140679891771,elefante,mesa,nr,lctrl,rctrl,0.03337267725373749
42,1,0.6040468830535701,chancho,tornillo,nr,lctrl,rctrl,0.03338468995366384
43,1,0.4298359148997406,tuerca,gato,nr,rctrl,rctrl,0.033385528048938795
44,1,0.4530807686451226,pipa,cigarrillo,sro,lctrl,rctrl,0.03337742646067454
45,1,0.5841697757675774,pava,zorro,nr,rctrl,rctrl,0.033385248683998725
46,1,0.5267770065750028,peine,tornillo,wro,lctrl,rctrl,0.03338468995366384
47,1,0.6896058018546682,bowl,caballo,nr,rctrl,rctrl,0.03335619471181417
48,1,1.185675274371306,hormiga,pato,wra,rctrl,rctrl,0.03352548997145277
49,1,0.6398550653782422,mosca,zorro,wra,rctrl,rctrl,0.033410670909233886
50,1,0.6091768646572291,gallina,olla,nr,lctrl,rctrl,0.033383851858161506
51,1,1.1318242961046963,silla,mesa,sro,lctrl,rctrl,0.033366251856023155
52,1,0.8955713645168544,taza,cabra,nr,rctrl,rctrl,0.03337742646067454
53,1,0.5768568351563772,perro,gato,sra,rctrl,rctrl,0.03334781375838247
54,1,0.5717966948313915,sapo,cebra,wra,rctrl,rctrl,0.033380778842001746
55,1,0.602838070201642,botella,vaso,sro,lctrl,rctrl,0.03337463280945485
56,1,0.7937883166714528,tijera,leon,nr,rctrl,rctrl,0.03342519789521248
57,1,0.46104937918084943,media,olla,wro,lctrl,rctrl,0.03340284868613708
