Nombre,66
Apellido,12_16
Edad,19*
Sexo,Masculino
Antecendente neurologico?,No
Toma alguna medicacion?,No
Trabaja?,Si
Horas de sueño la noche anterior?,Mas de 7
Dibujar,Alta preferencia de mano derecha
Arrojar un objeto,Preferencia moderada de mano derecha
Escribir,Alta preferencia de mano derecha
Usar tijeras,Preferencia moderada de mano derecha
Usa un cepillo de diente,No preferencia
Usar una cuchara,No preferencia
Usar una escoba (La mano que va arriba),No preferencia
Encender un fósforo,Preferencia moderada de mano derecha
Abrir una caja (La mano que abre la caja),No preferencia
SYSTEM
System,Windows
Node,u-76627f80a4294
Release,XP
Version,5.1.2600
Machine,x86
Processor,"x86 Family 18 Model 1 Stepping 0, AuthenticAMD"
Screen Width,1280
Screen Height,720
""
Estimulos
Imagenes
ETAPA DE TEST
Num Trial,"Calidad respuesta (1:correcto, 0:error)",Tiempo Resp,Prime,Target,Categoria,Tecla presionada (vacio si no se presiono),Tecla para responder afirmativamente,Tiempo de aparicion del prime
-9,1,1.5642323256179225,hilo,serpiente,sra,rctrl,rctrl,0.03328383914777078
-8,1,0.6692213675196399,serpiente,hilo,sro,lctrl,rctrl,0.033369883602063055
-7,1,0.5276941622469167,violin,mapache,sra,rctrl,rctrl,0.03333831534473575
-6,1,0.7383536175693735,hilo,pavo,sra,rctrl,rctrl,0.03311873436359747
-5,1,0.6731724283381482,pavo,rueda,sro,lctrl,rctrl,0.033377147095961845
-4,1,0.5905401384825382,violin,mapache,sra,rctrl,rctrl,0.03340787725755945
-3,1,0.5933315547099483,hilo,pavo,sra,rctrl,rctrl,0.03340396614657948
-2,1,0.533591280456676,violin,mapache,sra,rctrl,rctrl,0.0334380486910959
-1,1,0.6455356756232504,carro,buho,sra,rctrl,rctrl,0.03336904550633335
0,1,0.6025500447685772,violin,mapache,sra,rctrl,rctrl,0.0336366772880865
1,1,0.643612526173456,martillo,clavo,sro,lctrl,rctrl,0.033376029634382576
2,1,0.5339904932061472,elefante,mesa,nr,lctrl,rctrl,0.03359644871125056
3,1,0.6486058982354734,pipa,cigarrillo,sro,lctrl,rctrl,0.0332357883471559
4,1,0.45456838788231835,escarabajo,leon,wra,rctrl,rctrl,0.03340089312951022
5,1,0.5586137344271265,destornillador,tornillo,sro,lctrl,rctrl,0.033377147095961845
6,1,0.5471578091637639,cuchara,cigarrillo,wro,lctrl,rctrl,0.03342463916487759
7,1,0.5104229727512575,tigre,leon,sra,rctrl,rctrl,0.0333874836051109
8,1,0.5482115743761824,tijera,leon,nr,rctrl,rctrl,0.03338552804780193
9,1,0.6589440836742142,bota,zapato,sro,lctrl,rctrl,0.03335284233071434
10,1,0.5236551014168072,tortuga,tornillo,nr,lctrl,rctrl,0.03336289947401383
11,1,0.575867882649618,oso,olla,nr,lctrl,rctrl,0.03334893121791538
12,1,0.6026243558881106,bowl,caballo,nr,rctrl,rctrl,0.03335842963315372
13,1,0.6014412446274946,gorila,mono,sra,rctrl,rctrl,0.03333580105936562
14,1,0.6626202492207085,sarten,olla,sro,lctrl,rctrl,0.033365413759383955
15,1,0.5873687856983452,regla,clavo,wro,lctrl,rctrl,0.03340620106791903
16,1,0.6876002396948024,perro,gato,sra,rctrl,rctrl,0.033369324872182915
17,1,0.6227760790825414,rinoceronte,tenedor,nr,lctrl,rctrl,0.03363332490516768
18,1,0.6439550278046227,ventana,cebra,nr,rctrl,rctrl,0.0334028486868192
19,1,0.5934486086916877,oveja,cabra,sra,rctrl,rctrl,0.03338133757097239
20,1,0.5475212631772592,aguila,mono,wra,rctrl,rctrl,0.033303674070339184
21,1,0.5364544935182494,burro,caballo,sra,rctrl,rctrl,0.033414302655728534
22,1,0.5298307466455299,cisne,pato,sra,rctrl,rctrl,0.03338915979475132
23,1,0.6232470886661758,pinguino,clavo,nr,lctrl,rctrl,0.03338692487523076
24,1,0.5529303305320354,ciervo,tenedor,nr,lctrl,rctrl,0.03339726138256083
25,1,0.5723724663330358,cocodrilo,cigarrillo,nr,lctrl,rctrl,0.03321288040751824
26,1,0.5782723781940149,pincel,pato,nr,rctrl,rctrl,0.03333216931241623
27,1,0.5852844425753574,camello,zapato,nr,lctrl,rctrl,0.03340256932096963
28,1,0.5869472237391165,lapiz,zorro,nr,rctrl,rctrl,0.03339083598621073
29,1,0.5274494384066202,abeja,gato,wra,rctrl,rctrl,0.03323969945995486
30,1,0.5765794255967194,arana,caballo,wra,rctrl,rctrl,0.033373235984981875
31,1,0.44761610763453064,pinza,mesa,wro,lctrl,rctrl,0.03339195344597101
32,1,0.6637337985703198,raton,cabra,wra,rctrl,rctrl,0.03340620106791903
33,1,0.6035993401401356,ardilla,vaso,nr,lctrl,rctrl,0.03338413122401107
34,1,0.4798310958503862,pava,zorro,nr,rctrl,rctrl,0.033377147095961845
35,1,0.556024857907687,puerta,mono,nr,rctrl,rctrl,0.03340089313132921
36,1,0.5708242248656461,gallo,cigarrillo,nr,lctrl,rctrl,0.033493362983790576
37,1,0.4947598088583618,botella,vaso,sro,lctrl,rctrl,0.03333608042521519
38,1,0.6203847137003322,mosca,zorro,wra,rctrl,rctrl,0.033386645509381196
39,1,0.6727544981276878,chancho,tornillo,nr,lctrl,rctrl,0.03340703916364873
40,1,0.7320399659729446,hormiga,pato,wra,rctrl,rctrl,0.03298771212575957
41,1,0.6014476700256637,sobre,gato,nr,rctrl,rctrl,0.033378264555722126
42,1,0.6654527321206842,escritorio,leon,nr,rctrl,rctrl,0.03340759789352887
43,1,0.5535460512437567,sombrero,tenedor,wro,lctrl,rctrl,0.03338357249231194
44,1,0.6082186423136591,jarra,cabra,nr,rctrl,rctrl,0.033358150267304154
45,1,0.5674352466594428,conejo,clavo,nr,lctrl,rctrl,0.03340117249535979
46,1,0.6639801986020757,cama,mono,nr,rctrl,rctrl,0.03335731217157445
47,1,0.6873435031557165,taza,cabra,nr,rctrl,rctrl,0.033374353444742155
48,1,0.5503350286144268,silla,mesa,sro,lctrl,rctrl,0.03335340106059448
49,1,0.6350821123905916,jirafa,cebra,sra,rctrl,rctrl,0.03339139471609087
50,1,0.5865723157567118,gallina,olla,nr,lctrl,rctrl,0.03339195344597101
51,1,0.561878115793661,zorrino,zorro,sra,rctrl,rctrl,0.033381616936821956
52,1,0.6076350485891453,avestruz,zapato,nr,lctrl,rctrl,0.03341681694291765
53,1,0.5369249443720037,peine,tornillo,wro,lctrl,rctrl,0.0333550772502349
54,1,0.5726300409696705,mariposa,vaso,nr,lctrl,rctrl,0.03339726138256083
55,1,0.5695377485135396,cuchillo,tenedor,sro,lctrl,rctrl,0.03338636614353163
56,1,0.55847209631429,copa,pato,nr,rctrl,rctrl,0.033370442331943195
57,1,0.5937899928630941,tuerca,gato,nr,rctrl,rctrl,0.03338636614353163
58,1,0.6079842549825116,serrucho,caballo,nr,rctrl,rctrl,0.0333830137624318
59,1,0.5844656234239665,candado,cebra,nr,rctrl,rctrl,0.03335284233071434
60,1,0.635957083930407,llave,zapato,wro,lctrl,rctrl,0.033384410588041646
61,1,0.6226660092270322,hacha,vaso,wro,lctrl,rctrl,0.03340173122705892
62,1,0.5596119059828197,media,olla,wro,lctrl,rctrl,0.03340005503559951
63,1,0.5160465925146127,canguro,mesa,nr,lctrl,rctrl,0.03338245503255166
64,1,0.6673373291851021,sapo,cebra,wra,rctrl,rctrl,0.033587229661861784
65,1,0.7416660497347038,cocodrilo,cigarrillo,nr,lctrl,rctrl,0.03340787725755945
66,1,0.5089800519344863,rinoceronte,tenedor,nr,lctrl,rctrl,0.03336569312523352
67,1,0.4561247309375176,sarten,olla,sro,lctrl,rctrl,0.03334194709168514
68,1,0.48966810027559404,chancho,tornillo,nr,lctrl,rctrl,0.03339335027158086
69,1,0.5307853372432874,zorrino,zorro,sra,rctrl,rctrl,0.03339726138256083
70,1,0.5076955311360507,peine,tornillo,wro,lctrl,rctrl,0.033374353444742155
71,1,0.537508817462367,jirafa,cebra,sra,rctrl,rctrl,0.03329054390997044
72,1,0.4252674571780517,sapo,cebra,wra,rctrl,rctrl,0.033426594720367575
73,1,0.4668489989653608,sobre,gato,nr,rctrl,rctrl,0.03339083598621073
74,1,0.5465831551209703,escritorio,leon,nr,rctrl,rctrl,0.03332406772278773
75,1,0.511697157042363,oso,olla,nr,lctrl,rctrl,0.033755128095435794
76,1,0.5330738962638861,pinza,mesa,wro,lctrl,rctrl,0.033373235984981875
77,1,0.46463447169844585,mosca,zorro,wra,rctrl,rctrl,0.033393909001461
78,1,0.628801425880738,abeja,gato,wra,rctrl,rctrl,0.033377705825841986
79,1,0.4942027548204351,ciervo,tenedor,nr,lctrl,rctrl,0.03338720423926134
80,1,0.49570126929393155,media,olla,wro,lctrl,rctrl,0.03335395979047462
81,1,0.5793800608735182,cama,mono,nr,rctrl,rctrl,0.033376588364262716
82,1,0.5525529082606226,aguila,mono,wra,rctrl,rctrl,0.03337463280877273
83,1,0.5584084010679362,mariposa,vaso,nr,lctrl,rctrl,0.03335451852035476
84,1,0.5403904686208989,canguro,mesa,nr,lctrl,rctrl,0.03335395979047462
85,1,0.5771674891639123,gorila,mono,sra,rctrl,rctrl,0.033360943918523844
86,1,0.5676880720875488,lapiz,zorro,nr,rctrl,rctrl,0.03331959788192762
87,1,0.5761916668179765,pinguino,clavo,nr,lctrl,rctrl,0.033328816931316396
88,1,0.6395142399378528,tijera,leon,nr,rctrl,rctrl,0.03335340106059448
89,1,0.5147749225106963,burro,caballo,sra,rctrl,rctrl,0.0333486518538848
90,1,0.6478711679847038,cuchillo,tenedor,sro,lctrl,rctrl,0.033360385188643704
91,1,0.6139487001837551,gallina,olla,nr,lctrl,rctrl,0.033381616936821956
92,1,0.746243447141751,hormiga,pato,wra,rctrl,rctrl,0.033318201056317776
93,1,0.6413365385815268,puerta,mono,nr,rctrl,rctrl,0.033380499475242686
94,1,0.4808234007377905,camello,zapato,nr,lctrl,rctrl,0.03337966138133197
95,1,0.5892204176780069,gallo,cigarrillo,nr,lctrl,rctrl,0.033388880430720747
96,1,0.5491980125971168,hacha,vaso,wro,lctrl,rctrl,0.033363737569743535
97,1,0.5432950277190685,taza,cabra,nr,rctrl,rctrl,0.03338077884109225
98,1,0.5115208776533109,regla,clavo,wro,lctrl,rctrl,0.03339111535024131
99,1,0.5240819713108067,botella,vaso,sro,lctrl,rctrl,0.03337295661913231
100,1,0.5112677728593553,conejo,clavo,nr,lctrl,rctrl,0.03332742010570655
101,1,0.513210198501838,raton,cabra,wra,rctrl,rctrl,0.0333640169355931
102,1,0.8143616018223838,pava,zorro,nr,rctrl,rctrl,0.03337686773011228
103,1,0.4965829455977655,ardilla,vaso,nr,lctrl,rctrl,0.03339251217767014
104,1,0.5387126017412811,copa,pato,nr,rctrl,rctrl,0.03335116613925493
105,1,0.5946800501169491,sombrero,tenedor,wro,lctrl,rctrl,0.03338524868377135
106,1,0.6825691533413192,jarra,cabra,nr,rctrl,rctrl,0.03337295661913231
107,1,0.6022368764752173,llave,zapato,wro,lctrl,rctrl,0.03329138200570014
