Nombre,66
Apellido,14_10
Edad,35
Sexo,Femenino
Antecendente neurologico?,No
Toma alguna medicacion?,No
Trabaja?,Si
Horas de sueño la noche anterior?,6
Dibujar,Alta preferencia de mano izquierda
Arrojar un objeto,Preferencia moderada de mano derecha
Escribir,Alta preferencia de mano izquierda
Usar tijeras,Alta preferencia de mano izquierda
Usa un cepillo de diente,Alta preferencia de mano izquierda
Usar una cuchara,Alta preferencia de mano izquierda
Usar una escoba (La mano que va arriba),Alta preferencia de mano izquierda
Encender un fósforo,No preferencia
Abrir una caja (La mano que abre la caja),Alta preferencia de mano izquierda
SYSTEM
System,Windows
Node,u-76627f80a4294
Release,XP
Version,5.1.2600
Machine,x86
Processor,"x86 Family 18 Model 1 Stepping 0, AuthenticAMD"
Screen Width,1280
Screen Height,720
""
Estimulos
Imagenes
ETAPA DE TEST
Num Trial,"Calidad respuesta (1:correcto, 0:error)",Tiempo Resp,Prime,Target,Categoria,Tecla presionada (vacio si no se presiono),Tecla para responder afirmativamente,Tiempo de aparicion del prime
-9,0,0,pavo,rueda,sro,,rctrl,0.03340145186052723
-8,1,0.5853615473474747,buho,carro,sro,lctrl,rctrl,0.03340787725824157
-7,1,0.5090451440057677,serpiente,hilo,sro,lctrl,rctrl,0.0333559153468741
-6,1,0.5177269736796006,hilo,serpiente,sra,rctrl,rctrl,0.033381616937276704
-5,1,0.582385191414005,hilo,serpiente,sra,rctrl,rctrl,0.03339530582798034
-4,1,0.46966471995756365,pavo,rueda,sro,lctrl,rctrl,0.03336513439558075
-3,1,0.41051055371576695,hilo,serpiente,sra,rctrl,rctrl,0.033379661381559345
-2,1,0.5375144047636695,hilo,pavo,sra,rctrl,rctrl,0.03340843598834908
-1,1,0.5174805736482995,violin,mapache,sra,rctrl,rctrl,0.03338301376288655
0,1,0.48665822052794283,serpiente,hilo,sro,lctrl,rctrl,0.033385528048938795
1,1,0.6514537462164753,elefante,mesa,nr,lctrl,rctrl,0.03338022011189423
2,1,0.5005328889565135,mosca,zorro,wra,rctrl,rctrl,0.033400055034917386
3,1,0.34404484368837984,cisne,pato,sra,rctrl,rctrl,0.0333687661420754
4,1,0.3585642868017658,escritorio,leon,nr,rctrl,rctrl,0.03335423915609681
5,1,0.4573363374395285,canguro,mesa,nr,lctrl,rctrl,0.03372160428216375
6,0,0.40705592470544616,copa,pato,nr,lctrl,rctrl,0.03338301376288655
7,1,0.5929566467245877,mariposa,vaso,nr,lctrl,rctrl,0.03339167408148569
8,1,0.6108443950279252,pinguino,clavo,nr,lctrl,rctrl,0.03335256296531952
9,1,0.5155023892700683,jirafa,cebra,sra,rctrl,rctrl,0.033381058206941816
10,1,0.3903672114752226,taza,cabra,nr,rctrl,rctrl,0.03333440423284628
11,1,0.49192090056135385,serrucho,caballo,nr,rctrl,rctrl,0.03336373756997091
12,1,0.4915373322587584,pipa,cigarrillo,sro,lctrl,rctrl,0.033406480432631724
13,1,0.5425010720637147,ventana,cebra,nr,rctrl,rctrl,0.03335200423521201
14,1,0.6217723202250909,cocodrilo,cigarrillo,nr,lctrl,rctrl,0.03325646136590876
15,1,0.543940919865463,gorila,mono,sra,rctrl,rctrl,0.033397261383697696
16,1,0.563251474698518,ciervo,tenedor,nr,lctrl,rctrl,0.0333698836025178
17,1,0.5172755196540493,rinoceronte,tenedor,nr,lctrl,rctrl,0.033398937574474985
18,1,0.3925635800080727,tigre,leon,sra,rctrl,rctrl,0.033399216939415055
19,1,0.43583081089923326,jarra,cabra,nr,rctrl,rctrl,0.03336373756997091
20,1,0.49977497140002924,silla,mesa,sro,lctrl,rctrl,0.033369324872182915
21,1,0.5792730640348509,gallo,cigarrillo,nr,lctrl,rctrl,0.033385528048938795
22,1,0.5260621112461195,gallina,olla,nr,lctrl,rctrl,0.03341206773484373
23,1,0.45482875616880847,aguila,mono,wra,rctrl,rctrl,0.03719858250133257
24,1,0.7000487492123284,bota,zapato,sro,lctrl,rctrl,0.03344503281823563
25,1,0.49133311635978316,candado,cebra,nr,rctrl,rctrl,0.0333698836025178
