Nombre,66
Apellido,14_20
Edad,30
Sexo,Masculino
Antecendente neurologico?,No
Toma alguna medicacion?,No
Trabaja?,Si
Horas de sueño la noche anterior?,Menos de 5
Dibujar,Alta preferencia de mano derecha
Arrojar un objeto,Alta preferencia de mano derecha
Escribir,Alta preferencia de mano derecha
Usar tijeras,Alta preferencia de mano derecha
Usa un cepillo de diente,Alta preferencia de mano derecha
Usar una cuchara,Alta preferencia de mano derecha
Usar una escoba (La mano que va arriba),Alta preferencia de mano izquierda
Encender un fósforo,No preferencia
Abrir una caja (La mano que abre la caja),No preferencia
SYSTEM
System,Windows
Node,u-76627f80a4294
Release,XP
Version,5.1.2600
Machine,x86
Processor,"x86 Family 18 Model 1 Stepping 0, AuthenticAMD"
Screen Width,1280
Screen Height,720
""
Estimulos
Imagenes
ETAPA DE TEST
Num Trial,"Calidad respuesta (1:correcto, 0:error)",Tiempo Resp,Prime,Target,Categoria,Tecla presionada (vacio si no se presiono),Tecla para responder afirmativamente,Tiempo de aparicion del prime
-9,1,1.322989094982404,serpiente,hilo,sro,rctrl,lctrl,0.03337547090541193
-8,1,0.43087850550818985,serpiente,hilo,sro,rctrl,lctrl,0.03337323598407238
-7,1,0.5880792111847768,hilo,pavo,sra,lctrl,lctrl,0.03334390264626563
-6,1,0.44822177120295237,buho,carro,sro,rctrl,lctrl,0.033621032841438137
-5,1,0.4913618909668003,hilo,pavo,sra,lctrl,lctrl,0.03333328677217651
-4,1,0.6397463923494797,buho,carro,sro,rctrl,lctrl,0.033359547092914
-3,1,0.6498736571265908,mapache,violin,sro,rctrl,lctrl,0.033354239156324184
-2,1,0.5021342097952584,pavo,rueda,sro,rctrl,lctrl,0.03341402328987897
-1,1,0.4396597891627607,pavo,rueda,sro,rctrl,lctrl,0.03343860742097604
0,1,0.4924399609444663,hilo,pavo,sra,lctrl,lctrl,0.03336653122187272
1,1,0.4821283151914031,gallina,olla,nr,rctrl,lctrl,0.033380778842001746
2,1,0.5052086228834014,pinguino,clavo,nr,rctrl,lctrl,0.03339726138347032
3,1,0.5617127316454571,zorrino,zorro,sra,lctrl,lctrl,0.03337044233285269
4,1,0.6467654408588714,avestruz,zapato,nr,rctrl,lctrl,0.033386366144441126
5,1,0.6599643250756344,raton,cabra,wra,lctrl,lctrl,0.03317907722976088
6,1,0.5487792442900172,media,olla,wro,rctrl,lctrl,0.033408994718229224
7,1,0.5595043504135901,escarabajo,leon,wra,lctrl,lctrl,0.03337910265145183
8,1,0.5425133641283537,aguila,mono,wra,lctrl,lctrl,0.03340703916273924
9,1,0.505411162591372,ardilla,vaso,nr,rctrl,lctrl,0.03337630900023214
10,1,0.4803998832248908,jirafa,cebra,sra,lctrl,lctrl,0.03337295661913231
11,1,0.5023325590263994,tortuga,tornillo,nr,rctrl,lctrl,0.03340759789352887
12,1,0.6157936274030362,elefante,mesa,nr,rctrl,lctrl,0.03337910265145183
13,1,0.5402926908300287,pincel,pato,nr,lctrl,lctrl,0.03315756611573306
14,1,0.4724396536430504,martillo,clavo,sro,rctrl,lctrl,0.033314848675217945
15,1,0.54254912286342,hacha,vaso,wro,rctrl,lctrl,0.0334299471023769
