Nombre,66
Apellido,19_45
Edad,19
Sexo,Femenino
Antecendente neurologico?,No
Toma alguna medicacion?,No
Trabaja?,Si
Horas de sueño la noche anterior?,5
Dibujar,Alta preferencia de mano derecha
Arrojar un objeto,Alta preferencia de mano derecha
Escribir,Alta preferencia de mano derecha
Usar tijeras,Alta preferencia de mano derecha
Usa un cepillo de diente,Alta preferencia de mano derecha
Usar una cuchara,Alta preferencia de mano derecha
Usar una escoba (La mano que va arriba),Alta preferencia de mano derecha
Encender un fósforo,Alta preferencia de mano derecha
Abrir una caja (La mano que abre la caja),Alta preferencia de mano derecha
SYSTEM
System,Windows
Node,u-76627f80a4294
Release,XP
Version,5.1.2600
Machine,x86
Processor,"x86 Family 18 Model 1 Stepping 0, AuthenticAMD"
Screen Width,1280
Screen Height,720
""
Estimulos
Imagenes
ETAPA DE TEST
Num Trial,"Calidad respuesta (1:correcto, 0:error)",Tiempo Resp,Prime,Target,Categoria,Tecla presionada (vacio si no se presiono),Tecla para responder afirmativamente,Tiempo de aparicion del prime
-9,1,1.5775390447661266,carro,buho,sra,lctrl,lctrl,0.033199191517269355
-8,1,0.7820211786693108,hilo,serpiente,sra,lctrl,lctrl,0.03337882328651176
-7,1,0.6430979356309763,serpiente,hilo,sro,rctrl,lctrl,0.03338776297005097
-6,1,0.5740025617778883,hilo,serpiente,sra,lctrl,lctrl,0.03327992803588131
-5,1,0.528545108387334,carro,buho,sra,lctrl,lctrl,0.03337658836517221
-4,1,0.6523896193511973,hilo,pavo,sra,lctrl,lctrl,0.0334254772596978
-3,1,0.6611974426923553,buho,carro,sro,rctrl,lctrl,0.033352283599924704
-2,1,0.670425151800373,serpiente,hilo,sro,rctrl,lctrl,0.03336010582279414
-1,1,0.5446999548830718,serpiente,hilo,sro,rctrl,lctrl,0.03335479788711382
0,1,0.6509290985304688,violin,mapache,sra,lctrl,lctrl,0.03339307090755028
1,1,0.7107129537416768,ardilla,vaso,nr,rctrl,lctrl,0.0335771725176528
2,1,0.5041177021103067,copa,pato,nr,lctrl,lctrl,0.03339782011425996
3,1,0.6878600492527767,cocodrilo,cigarrillo,nr,rctrl,lctrl,0.033388880430720747
4,1,0.6866389443348453,canguro,mesa,nr,rctrl,lctrl,0.03337602963529207
5,1,0.5733175585164645,burro,caballo,sra,lctrl,lctrl,0.0333911153520603
6,1,0.6847197059960308,peine,tornillo,wro,rctrl,lctrl,0.03340815662340901
7,1,0.5029901845073255,tigre,leon,sra,lctrl,lctrl,0.03338552804871142
8,1,0.5970607996268882,cuchara,cigarrillo,wro,rctrl,lctrl,0.03340955344901886
9,1,0.667472262535739,avestruz,zapato,nr,rctrl,lctrl,0.033375470904502436
10,1,0.6682229165999161,gallina,olla,nr,rctrl,lctrl,0.03339726138347032
11,1,0.6524505209454219,camello,zapato,nr,rctrl,lctrl,0.033372118523402605
12,1,0.6675828911211283,gallo,cigarrillo,nr,rctrl,lctrl,0.03338161693773145
13,1,0.5476106600144703,gorila,mono,sra,lctrl,lctrl,0.03339893757402024
14,1,0.622305069498907,pava,zorro,nr,lctrl,lctrl,0.033357032807543874
15,1,0.6438365769954544,martillo,clavo,sro,rctrl,lctrl,0.03342156614871783
16,1,0.6476811997054028,destornillador,tornillo,sro,rctrl,lctrl,0.03324612485630496
17,1,0.7063920135105946,aguila,mono,wra,lctrl,lctrl,0.03340592170206946
18,1,0.5411779988789931,ventana,cebra,nr,lctrl,lctrl,0.0331888550081203
19,1,0.9329744422821022,mariposa,vaso,nr,rctrl,lctrl,0.033362061380103114
20,1,0.636551852260709,escarabajo,leon,wra,lctrl,lctrl,0.033371839158462535
21,1,0.6342448551422422,regla,clavo,wro,rctrl,lctrl,0.03334893121882487
22,1,0.6472610345726935,escritorio,leon,nr,lctrl,lctrl,0.03309191531388933
23,1,0.7717545106988837,pinguino,clavo,nr,rctrl,lctrl,0.03339949630480987
24,1,0.5784961496501637,cama,mono,nr,lctrl,lctrl,0.033357591537424014
25,1,0.6713478947740441,puerta,mono,nr,lctrl,lctrl,0.033380220112121606
26,1,0.6933453832816667,llave,zapato,wro,rctrl,lctrl,0.033421286782868265
27,1,0.6919896243789481,pinza,mesa,wro,rctrl,lctrl,0.03337630900023214
28,1,0.6290268735265272,bota,zapato,sro,rctrl,lctrl,0.033210924852028256
29,1,0.7853215981358517,sombrero,tenedor,wro,rctrl,lctrl,0.033360105823703634
30,1,0.6745622697853833,perro,gato,sra,lctrl,lctrl,0.033411509004508844
31,1,0.6968296249942796,cuchillo,tenedor,sro,rctrl,lctrl,0.03338105820785131
32,1,0.6364574268518481,hacha,vaso,wro,rctrl,lctrl,0.03338496931883128
33,1,0.6477169584395597,hormiga,pato,wra,lctrl,lctrl,0.03335172487004456
34,1,0.6774092796713376,jarra,cabra,nr,lctrl,lctrl,0.03336876614139328
35,1,0.7264870255858114,taza,cabra,nr,lctrl,lctrl,0.03338496931883128
36,1,0.7055737530881743,zorrino,zorro,sra,lctrl,lctrl,0.03339698201853025
37,1,0.6631778619903343,candado,cebra,nr,lctrl,lctrl,0.03334138836089551
38,1,0.5847081123438329,tijera,leon,nr,lctrl,lctrl,0.03340173122614942
39,1,0.5819328992929513,cisne,pato,sra,lctrl,lctrl,0.033729705870428006
40,1,0.5732750950191985,raton,cabra,wra,lctrl,lctrl,0.0333874836051109
41,1,0.6752883397193727,mosca,zorro,wra,lctrl,lctrl,0.03332490581942693
42,1,0.5772309050453259,abeja,gato,wra,lctrl,lctrl,0.03338832169993111
43,1,0.7249030253842648,media,olla,wro,rctrl,lctrl,0.03358220109021204
44,1,0.6531743559589813,rinoceronte,tenedor,nr,rctrl,lctrl,0.03350314076305949
45,1,0.6760543588634391,sapo,cebra,wra,lctrl,lctrl,0.033375191539562366
46,1,0.8749631587252225,sarten,olla,sro,rctrl,lctrl,0.03337966138133197
47,1,0.5526216320786261,jirafa,cebra,sra,lctrl,lctrl,0.033378264555722126
48,1,0.5275664923892691,silla,mesa,sro,rctrl,lctrl,0.03335647407675424
49,1,0.908345055027894,ciervo,tenedor,nr,rctrl,lctrl,0.03339251217676065
50,1,0.5938612309664677,pipa,cigarrillo,sro,rctrl,lctrl,0.03324835977764451
51,1,0.6187632785722599,tuerca,gato,nr,lctrl,lctrl,0.033366251856023155
52,1,0.5201194565233891,arana,caballo,wra,lctrl,lctrl,0.033377705825841986
53,1,0.5369422650082925,lapiz,zorro,nr,lctrl,lctrl,0.03346123599567363
54,1,0.5075798739781021,oveja,cabra,sra,lctrl,lctrl,0.03338496931883128
55,1,0.8030182607008101,sobre,gato,nr,lctrl,lctrl,0.033379940747181536
56,1,0.6383858842400514,bowl,caballo,nr,lctrl,lctrl,0.033384131223101576
57,1,0.7845195408917789,oso,olla,nr,rctrl,lctrl,0.033386086779501056
58,1,0.7830263343530532,conejo,clavo,nr,rctrl,lctrl,0.033380220112121606
59,1,0.772453761581346,botella,vaso,sro,rctrl,lctrl,0.033433578849326295
60,1,0.6461994471355865,serrucho,caballo,nr,lctrl,lctrl,0.03339586455876997
61,1,0.7232388473958054,chancho,tornillo,nr,rctrl,lctrl,0.033149185161164496
62,1,0.6271987082154737,elefante,mesa,nr,rctrl,lctrl,0.033428550276767055
63,1,0.6654703321228226,tortuga,tornillo,nr,rctrl,lctrl,0.03338999789048103
64,1,0.5890212303520457,pincel,pato,nr,lctrl,lctrl,0.03356376299234398
65,1,0.9075698168344388,ciervo,tenedor,nr,rctrl,lctrl,0.033371559793522465
66,1,0.5512105588832128,jarra,cabra,nr,lctrl,lctrl,0.03339251217676065
67,1,0.6279465686284311,escarabajo,leon,wra,lctrl,lctrl,0.033133540715425625
68,1,1.0008255239145,destornillador,tornillo,sro,rctrl,lctrl,0.033317083596557495
69,1,0.4836388423664175,sobre,gato,nr,lctrl,lctrl,0.03337239788925217
70,1,0.7654227003713459,zorrino,zorro,sra,lctrl,lctrl,0.03340508360724925
71,1,0.5777798574954431,pinza,mesa,wro,rctrl,lctrl,0.03340899471913872
72,1,0.5643066367374558,sombrero,tenedor,wro,rctrl,lctrl,0.03308744547121023
73,1,0.5506867492940728,ventana,cebra,nr,lctrl,lctrl,0.033386366144441126
74,1,0.4710067899695787,burro,caballo,sra,lctrl,lctrl,0.033414023290788464
75,1,0.6089754424092462,bota,zapato,sro,rctrl,lctrl,0.0333640169355931
76,1,0.7887265001554624,copa,pato,nr,lctrl,lctrl,0.03340564233712939
77,1,0.5327769311461452,raton,cabra,wra,lctrl,lctrl,0.033381616936821956
78,1,0.5335278645752624,tortuga,tornillo,nr,rctrl,lctrl,0.033431064563046675
79,1,0.6679605927565717,bowl,caballo,nr,lctrl,lctrl,0.03337239788925217
80,1,0.5290583021032944,canguro,mesa,nr,rctrl,lctrl,0.03323746453770582
81,1,0.5066442802080928,aguila,mono,wra,lctrl,lctrl,0.03337714709505235
82,1,0.5216830630706681,cuchillo,tenedor,sro,rctrl,lctrl,0.033359826458763564
83,1,0.5619990808891089,mosca,zorro,wra,lctrl,lctrl,0.033369045507242845
84,1,0.5771470955114637,cocodrilo,cigarrillo,nr,rctrl,lctrl,0.03339195344688051
85,1,0.6083809534447937,chancho,tornillo,nr,rctrl,lctrl,0.03337072169779276
86,1,0.5544956132698644,jirafa,cebra,sra,lctrl,lctrl,0.0333793820163919
87,1,0.5886398969705624,cama,mono,nr,lctrl,lctrl,0.03340312805084977
88,1,0.632798302577612,hacha,vaso,wro,rctrl,lctrl,0.03320952802641841
89,1,0.8621458872567018,oveja,cabra,sra,lctrl,lctrl,0.03340983281395893
90,1,0.5534985591739314,ardilla,vaso,nr,rctrl,lctrl,0.03341402328987897
91,1,0.4319878643800621,candado,cebra,nr,lctrl,lctrl,0.03340005503469001
92,1,0.5375733508026315,cisne,pato,sra,lctrl,lctrl,0.03340340741669934
93,1,0.5955192629226076,conejo,clavo,nr,rctrl,lctrl,0.033329096296256466
94,1,0.5726599330364479,gallina,olla,nr,rctrl,lctrl,0.033383572493221436
95,1,0.5424574911057789,pava,zorro,nr,lctrl,lctrl,0.033413464560908324
96,1,0.5712938376245802,mariposa,vaso,nr,rctrl,lctrl,0.033384131223101576
97,1,0.48759185874132527,perro,gato,sra,lctrl,lctrl,0.033377147095961845
98,1,0.5048102482296599,cuchara,cigarrillo,wro,rctrl,lctrl,0.033384131223101576
99,1,0.5085962042658139,pinguino,clavo,nr,rctrl,lctrl,0.033414023290788464
100,1,0.4301303657302924,tigre,leon,sra,lctrl,lctrl,0.03337714709505235
101,1,0.5213983900193853,rinoceronte,tenedor,nr,rctrl,lctrl,0.033412067734388984
102,1,0.599038145909617,arana,caballo,wra,lctrl,lctrl,0.033360664553583774
103,1,0.5773007463239992,escritorio,leon,nr,lctrl,lctrl,0.033381058206941816
104,1,0.6231018188063899,media,olla,wro,rctrl,lctrl,0.033417096306948224
105,1,0.6098775123655287,llave,zapato,wro,rctrl,lctrl,0.03335898836303386
106,1,0.5805497626097349,taza,cabra,nr,lctrl,lctrl,0.03340927408407879
107,1,0.61937452944494,silla,mesa,sro,rctrl,lctrl,0.033420728052988125
108,1,0.6352502901909247,tuerca,gato,nr,lctrl,lctrl,0.033597007440221205
