Nombre,66
Apellido,8_255
Edad,20
Sexo,Femenino
Antecendente neurologico?,No
Toma alguna medicacion?,No
Trabaja?,No
Horas de sueño la noche anterior?,6
Dibujar,Alta preferencia de mano derecha
Arrojar un objeto,Preferencia moderada de mano derecha
Escribir,Alta preferencia de mano derecha
Usar tijeras,Preferencia moderada de mano derecha
Usa un cepillo de diente,No preferencia
Usar una cuchara,No preferencia
Usar una escoba (La mano que va arriba),Preferencia moderada de mano derecha
Encender un fósforo,Preferencia moderada de mano derecha
Abrir una caja (La mano que abre la caja),No preferencia
SYSTEM
System,Windows
Node,u-76627f80a4294
Release,XP
Version,5.1.2600
Machine,x86
Processor,"x86 Family 18 Model 1 Stepping 0, AuthenticAMD"
Screen Width,1280
Screen Height,720
""
Estimulos
Imagenes
ETAPA DE TEST
Num Trial,"Calidad respuesta (1:correcto, 0:error)",Tiempo Resp,Prime,Target,Categoria,Tecla presionada (vacio si no se presiono),Tecla para responder afirmativamente,Tiempo de aparicion del prime
-9,1,0.963850154139891,serpiente,hilo,sro,lctrl,rctrl,0.0333765883652859
-8,1,0.711192903008623,buho,carro,sro,lctrl,rctrl,0.033380220111780545
-7,1,0.6095953535993885,rueda,pavo,sra,rctrl,rctrl,0.03338105820716919
-6,1,0.5060168261607032,hilo,serpiente,sra,rctrl,rctrl,0.03332686137480323
-5,1,0.5689217484346045,rueda,pavo,sra,rctrl,rctrl,0.0333575915375377
-4,1,0.4771827145627867,rueda,pavo,sra,rctrl,rctrl,0.033447547104401565
-3,1,0.46200285231793714,serpiente,hilo,sro,lctrl,rctrl,0.0333872042396024
-2,1,0.42992810538771664,pavo,rueda,sro,lctrl,rctrl,0.03335479788631801
-1,1,0.4936535230035588,violin,mapache,sra,rctrl,rctrl,0.03338748360476984
0,1,0.48790642386120453,mapache,violin,sro,lctrl,rctrl,0.033395585193034094
1,1,0.5379010460828795,camello,zapato,nr,lctrl,rctrl,0.033359826458422503
2,1,0.4419712561234519,raton,cabra,wra,rctrl,rctrl,0.033234112156719675
3,1,0.46883388810579163,regla,clavo,wro,lctrl,rctrl,0.03337575026989725
4,1,0.5008281778830224,pava,zorro,nr,rctrl,rctrl,0.03339502646292658
5,1,0.4358718775711168,hacha,vaso,wro,lctrl,rctrl,0.033336359788791015
6,1,0.5141527764003513,zorrino,zorro,sra,rctrl,rctrl,0.033410670909233886
7,1,0.37176540593827667,peine,tornillo,wro,lctrl,rctrl,0.03340787725812788
8,1,0.8657427131099666,lapiz,zorro,nr,rctrl,rctrl,0.033211483582363144
9,1,0.4527726289234124,ardilla,vaso,nr,lctrl,rctrl,0.03334781375838247
10,1,0.4913389830271626,oso,olla,nr,lctrl,rctrl,0.033372677253623806
11,1,0.4715593741664179,pincel,pato,nr,rctrl,rctrl,0.03339418836742425
12,1,0.4533313591532533,tortuga,tornillo,nr,lctrl,rctrl,0.033388321700158485
13,1,0.46837796423847067,media,olla,wro,lctrl,rctrl,0.0333782645559495
14,1,0.3907694972403988,martillo,clavo,sro,lctrl,rctrl,0.03337742646067454
15,1,0.4473973647488947,chancho,tornillo,nr,lctrl,rctrl,0.03333077248646532
16,1,0.4920681259768571,tigre,leon,sra,rctrl,rctrl,0.033343343916612866
17,1,0.5103732457616843,tijera,leon,nr,rctrl,rctrl,0.03340228995580219
18,1,0.4748860539536963,gorila,mono,sra,rctrl,rctrl,0.03328216295653874
19,1,0.49180999261079705,copa,pato,nr,rctrl,rctrl,0.0333872042396024
20,1,0.3678875387793141,aguila,mono,wra,rctrl,rctrl,0.03338049947694799
21,1,0.41122628713992526,taza,cabra,nr,rctrl,rctrl,0.03340675979768548
22,1,0.44474116123683416,bowl,caballo,nr,rctrl,rctrl,0.033494201078610786
23,1,0.5004096889410903,tuerca,gato,nr,rctrl,rctrl,0.033391394716318246
24,1,0.44956495867495505,destornillador,tornillo,sro,lctrl,rctrl,0.033391394716318246
25,1,0.6380897572175854,mosca,zorro,wra,rctrl,rctrl,0.03336960423735036
26,1,0.4641126176652506,silla,mesa,sro,lctrl,rctrl,0.03337519153978974
27,1,0.5328501248063731,cuchillo,tenedor,sro,lctrl,rctrl,0.033557896324850844
28,1,0.5688077674676606,avestruz,zapato,nr,lctrl,rctrl,0.0334629121857688
29,1,0.39710410121961104,pinza,mesa,wro,lctrl,rctrl,0.03337686773045334
30,1,0.3797356926647808,ciervo,tenedor,nr,lctrl,rctrl,0.03338161693739039
31,1,0.3648969352250333,conejo,clavo,nr,lctrl,rctrl,0.03338692487454864
32,1,0.40383735921750485,gallo,cigarrillo,nr,lctrl,rctrl,0.03335256296543321
33,1,0.5858194267707404,jirafa,cebra,sra,rctrl,rctrl,0.03337295661879125
34,1,0.4416566910040274,burro,caballo,sra,rctrl,rctrl,0.0333771470955071
35,1,0.43695162373978746,sombrero,tenedor,wro,lctrl,rctrl,0.03335787090259146
36,1,0.4232040664385295,sarten,olla,sro,lctrl,rctrl,0.03339754074886514
37,1,0.5574501787236841,perro,gato,sra,rctrl,rctrl,0.033380220111780545
38,1,0.415385474969753,pinguino,clavo,nr,lctrl,rctrl,0.03335144550487712
39,1,0.4909925702847886,escarabajo,leon,wra,rctrl,rctrl,0.03339167408148569
40,1,0.4034160766243531,rinoceronte,tenedor,nr,lctrl,rctrl,0.033396982018757626
41,1,0.5437269261874462,hormiga,pato,wra,rctrl,rctrl,0.0333793820163919
42,1,0.46274484606283295,canguro,mesa,nr,lctrl,rctrl,0.03336317883974971
43,1,0.5623918682401836,pipa,cigarrillo,sro,lctrl,rctrl,0.033380220111780545
44,1,0.5375834079470678,cama,mono,nr,rctrl,rctrl,0.03336345820491715
45,1,0.46586982423741574,sapo,cebra,wra,rctrl,rctrl,0.033405362972075636
46,1,0.6785116544142511,jarra,cabra,nr,rctrl,rctrl,0.03342212487893903
47,1,0.4419835481885457,serrucho,caballo,nr,rctrl,rctrl,0.03339390900237049
48,1,0.3941542849718189,oveja,cabra,sra,rctrl,rctrl,0.03339558519314778
49,1,0.4690551452767977,gallina,olla,nr,lctrl,rctrl,0.033357591537424014
50,1,0.6495643999446656,cisne,pato,sra,rctrl,rctrl,0.0333771470955071
51,1,0.45896252177317365,arana,caballo,wra,rctrl,rctrl,0.033376309000118454
52,1,0.4298040672767911,mariposa,vaso,nr,lctrl,rctrl,0.033384969318717594
53,1,0.4279926638719189,llave,zapato,wro,lctrl,rctrl,0.0333665312211906
54,1,0.44911825385634074,ventana,cebra,nr,rctrl,rctrl,0.03344587091373796
55,1,0.46421318910643095,escritorio,leon,nr,rctrl,rctrl,0.033366251856023155
56,1,0.4243592411885402,elefante,mesa,nr,lctrl,rctrl,0.033355635981706655
57,1,0.4747217872661622,abeja,gato,wra,rctrl,rctrl,0.03340089313030603
58,1,0.4172460466343182,cuchara,cigarrillo,wro,lctrl,rctrl,0.03340061376513859
59,1,0.4877443920945552,candado,cebra,nr,rctrl,rctrl,0.03337128042812765
60,1,0.37760525429916925,botella,vaso,sro,lctrl,rctrl,0.033348093123549916
61,1,0.6130846238838785,cocodrilo,cigarrillo,nr,lctrl,rctrl,0.03340564233712939
62,1,0.46024369018982725,puerta,mono,nr,rctrl,rctrl,0.03339167408148569
63,1,0.4325602834996971,sobre,gato,nr,rctrl,rctrl,0.033398937574474985
64,1,0.4322015786922293,bota,zapato,sro,lctrl,rctrl,0.03335982645830882
65,1,0.6057345277122295,martillo,clavo,sro,lctrl,rctrl,0.03337882328628439
66,1,0.5027029971686261,gallina,olla,nr,lctrl,rctrl,0.03341039154406644
67,1,0.41483428759806884,bota,zapato,sro,lctrl,rctrl,0.03343106456259193
68,1,0.3864351474837804,sarten,olla,sro,lctrl,rctrl,0.03340424551151955
69,1,0.42271070764581964,rinoceronte,tenedor,nr,lctrl,rctrl,0.033367648681633
70,1,0.48430233451449567,oveja,cabra,sra,rctrl,rctrl,0.03335172487004456
71,1,0.4795992228062005,sombrero,tenedor,wro,lctrl,rctrl,0.033387483604656154
72,1,0.4560249975904753,sobre,gato,nr,rctrl,rctrl,0.033356753442149056
73,1,0.4459524883748145,puerta,mono,nr,rctrl,rctrl,0.03340340741624459
74,1,0.4362579601597645,pinza,mesa,wro,lctrl,rctrl,0.033371839158462535
75,1,0.4499038285591723,copa,pato,nr,rctrl,rctrl,0.033379661381559345
76,1,0.43587048074550694,abeja,gato,wra,rctrl,rctrl,0.03337295661867756
77,1,0.4031881146904652,regla,clavo,wro,lctrl,rctrl,0.03337575026989725
78,1,0.5067414992686281,tuerca,gato,nr,rctrl,rctrl,0.03338971852576833
79,1,0.4137564969851155,perro,gato,sra,rctrl,rctrl,0.03336960423735036
80,1,0.48084267693229776,aguila,mono,wra,rctrl,rctrl,0.03335312169565441
81,1,0.45416442592568274,cisne,pato,sra,rctrl,rctrl,0.03342128678377776
82,1,0.510706807708857,taza,cabra,nr,rctrl,rctrl,0.03339558519314778
83,1,0.7433313451849699,mariposa,vaso,nr,lctrl,rctrl,0.033382455032779035
84,1,0.642414329195617,cama,mono,nr,rctrl,rctrl,0.03342184551388527
85,1,0.49261149112544445,ventana,cebra,nr,rctrl,rctrl,0.033384410588496394
86,1,0.40742412792678806,destornillador,tornillo,sro,lctrl,rctrl,0.033347813758609846
87,1,0.46090215376534616,cuchara,cigarrillo,wro,lctrl,rctrl,0.03339195344665313
88,1,0.5014262985939695,llave,zapato,wro,lctrl,rctrl,0.03337575026989725
89,1,0.6020158986686965,avestruz,zapato,nr,lctrl,rctrl,0.0333793820163919
90,1,0.4950685073101795,silla,mesa,sro,lctrl,rctrl,0.03337575026989725
91,1,0.501333828740826,bowl,caballo,nr,rctrl,rctrl,0.03333440423284628
92,1,0.445780678829351,arana,caballo,wra,rctrl,rctrl,0.033397820114032584
93,1,0.4031632511953376,serrucho,caballo,nr,rctrl,rctrl,0.03334781375838247
94,1,0.43847723663202487,cuchillo,tenedor,sro,lctrl,rctrl,0.033387204239716084
95,1,0.4794972545391829,jarra,cabra,nr,rctrl,rctrl,0.033393070907095534
96,1,0.4805216864153863,tijera,leon,nr,rctrl,rctrl,0.03335284233071434
97,1,0.6244086888139009,hacha,vaso,wro,lctrl,rctrl,0.03337994074672679
98,1,0.4564295182767637,oso,olla,nr,lctrl,rctrl,0.03337854392111694
99,1,0.41303769054457007,sapo,cebra,wra,rctrl,rctrl,0.03338189630244415
100,1,0.46889506906609313,tigre,leon,sra,rctrl,rctrl,0.03339502646281289
101,1,0.4635103064777013,hormiga,pato,wra,rctrl,rctrl,0.03339865820930754
102,1,0.5404795860924878,candado,cebra,nr,rctrl,rctrl,0.03335172487004456
103,1,0.4506282223019298,chancho,tornillo,nr,lctrl,rctrl,0.03334557883749767
104,1,0.4959021328129438,raton,cabra,wra,rctrl,rctrl,0.0334017312254673
105,1,0.4352033568511615,mosca,zorro,wra,rctrl,rctrl,0.03333384550273877
106,1,0.46845702456607796,escarabajo,leon,wra,rctrl,rctrl,0.033372956618904936
107,1,0.444736970760232,pipa,cigarrillo,sro,lctrl,rctrl,0.03335172487004456
108,1,0.5136775763401147,ardilla,vaso,nr,lctrl,rctrl,0.03333216931196148
109,1,0.40917211545024657,pinguino,clavo,nr,lctrl,rctrl,0.033384689953436464
110,1,0.4576148644589466,canguro,mesa,nr,lctrl,rctrl,0.033397820114032584
111,1,0.3914321512929746,gallo,cigarrillo,nr,lctrl,rctrl,0.03338161693750408
112,1,0.4031495623048613,conejo,clavo,nr,lctrl,rctrl,0.03335898836303386
113,1,0.4548991561778166,escritorio,leon,nr,rctrl,rctrl,0.033398937574474985
114,1,0.49884133318641943,tortuga,tornillo,nr,lctrl,rctrl,0.03340871535351653
115,1,0.4965896503604199,gorila,mono,sra,rctrl,rctrl,0.03339670265359018
116,1,0.6553986610031188,burro,caballo,sra,rctrl,rctrl,0.03338329312805399
117,1,0.364496325650407,lapiz,zorro,nr,rctrl,rctrl,0.0333771470955071
118,1,0.40234080029722463,cocodrilo,cigarrillo,nr,lctrl,rctrl,0.03339502646304027
119,1,0.40797838831485933,botella,vaso,sro,lctrl,rctrl,0.03339055662104329
120,1,0.4288866322397098,pava,zorro,nr,rctrl,rctrl,0.03338022011166686
121,1,0.44199556088824465,ciervo,tenedor,nr,lctrl,rctrl,0.03338245503255166
122,1,0.4538132639761443,media,olla,wro,lctrl,rctrl,0.03340983281395893
123,1,0.4172960529899683,zorrino,zorro,sra,rctrl,rctrl,0.03337882328605701
124,1,0.46482863045457634,pincel,pato,nr,rctrl,rctrl,0.033379940746499415
125,1,0.4249405999926239,elefante,mesa,nr,lctrl,rctrl,0.03340312805107715
126,1,0.4258753556669035,peine,tornillo,wro,lctrl,rctrl,0.03338189630244415
127,1,0.4549030672894787,camello,zapato,nr,lctrl,rctrl,0.0333994963045825
128,1,0.44859304744022666,jirafa,cebra,sra,rctrl,rctrl,0.0333994963045825
129,1,0.49838457122359614,raton,cabra,wra,rctrl,rctrl,0.033411509004508844
130,1,0.44035177655246116,burro,caballo,sra,rctrl,rctrl,0.03338804233499104
131,1,0.44675985355661396,sapo,cebra,wra,rctrl,rctrl,0.03355230902229778
132,1,0.5178029609908208,jarra,cabra,nr,rctrl,rctrl,0.03337267725373749
133,1,0.4818704611900557,bota,zapato,sro,lctrl,rctrl,0.033381616937276704
