Nombre,66
Apellido,8_299
Edad,18
Sexo,Femenino
Antecendente neurologico?,No
Toma alguna medicacion?,No
Trabaja?,No
Horas de sueño la noche anterior?,5
Dibujar,Alta preferencia de mano derecha
Arrojar un objeto,Alta preferencia de mano derecha
Escribir,Alta preferencia de mano derecha
Usar tijeras,No preferencia
Usa un cepillo de diente,Alta preferencia de mano derecha
Usar una cuchara,Preferencia moderada de mano derecha
Usar una escoba (La mano que va arriba),Preferencia moderada de mano derecha
Encender un fósforo,Alta preferencia de mano derecha
Abrir una caja (La mano que abre la caja),No preferencia
SYSTEM
System,Windows
Node,u-76627f80a4294
Release,XP
Version,5.1.2600
Machine,x86
Processor,"x86 Family 18 Model 1 Stepping 0, AuthenticAMD"
Screen Width,1280
Screen Height,720
""
Estimulos
Imagenes
ETAPA DE TEST
Num Trial,"Calidad respuesta (1:correcto, 0:error)",Tiempo Resp,Prime,Target,Categoria,Tecla presionada (vacio si no se presiono),Tecla para responder afirmativamente,Tiempo de aparicion del prime
-9,0,0,carro,buho,sra,,rctrl,0.033380499477061676
-8,1,0.7282048416764155,violin,mapache,sra,rctrl,rctrl,0.03339167408148569
-7,1,0.498325345819012,violin,mapache,sra,rctrl,rctrl,0.033404804241854436
-6,1,0.6407099226298669,hilo,pavo,sra,rctrl,rctrl,0.03325031533336187
-5,1,0.5027890416240552,carro,buho,sra,rctrl,rctrl,0.033414023290788464
-4,1,0.5701559835115404,serpiente,hilo,sro,lctrl,rctrl,0.033384410588496394
-3,1,0.5488515998540606,carro,buho,sra,rctrl,rctrl,0.033450899485842456
-2,1,0.6233610696331198,serpiente,hilo,sro,lctrl,rctrl,0.03339670265359018
-1,1,0.5993261713429092,violin,mapache,sra,rctrl,rctrl,0.03326428358900557
0,1,0.5942688246691432,pavo,rueda,sro,lctrl,rctrl,0.03339474709787282
1,1,0.8804649752969453,tigre,leon,sra,rctrl,rctrl,0.03334027090022573
2,1,0.5738888601763392,cama,mono,nr,rctrl,rctrl,0.033380778842001746
3,1,0.6486665204656674,destornillador,tornillo,sro,lctrl,rctrl,0.03336094391897859
4,1,0.5542235116477059,raton,cabra,wra,rctrl,rctrl,0.03333384550296614
5,1,0.49710871074375973,serrucho,caballo,nr,rctrl,rctrl,0.033426035990487435
6,1,0.6058851055095147,aguila,mono,wra,rctrl,rctrl,0.03338245503255166
7,1,0.6295498450217565,pinguino,clavo,nr,lctrl,rctrl,0.03336792804702782
8,1,0.7324176676088427,pinza,mesa,wro,lctrl,rctrl,0.03338273439794648
9,1,0.503318159151604,escritorio,leon,nr,rctrl,rctrl,0.03340564233712939
10,1,0.5388545192199672,cisne,pato,sra,rctrl,rctrl,0.033369045507242845
11,1,0.6437723230187657,ciervo,tenedor,nr,lctrl,rctrl,0.03338133757233663
12,1,0.591127084587697,rinoceronte,tenedor,nr,lctrl,rctrl,0.033539178862156405
13,1,0.9044926100941666,cocodrilo,cigarrillo,nr,lctrl,rctrl,0.033404524876914365
14,1,0.582299705688456,media,olla,wro,lctrl,rctrl,0.03340424551151955
15,1,0.5343885884935844,mosca,zorro,wra,rctrl,rctrl,0.033082137534620415
16,1,0.576611273220351,elefante,mesa,nr,lctrl,rctrl,0.0333911153511508
17,1,0.5993594157916959,peine,tornillo,wro,lctrl,rctrl,0.03335898836303386
18,1,0.686506245905548,hacha,vaso,wro,lctrl,rctrl,0.03335228360037945
19,1,0.524340104678231,hormiga,pato,wra,rctrl,rctrl,0.03336708995129811
20,1,0.5389321827215099,chancho,tornillo,nr,lctrl,rctrl,0.03338692487432127
21,1,0.5454760311718019,arana,caballo,wra,rctrl,rctrl,0.03355901378517956
22,1,0.7621960332949129,taza,cabra,nr,rctrl,rctrl,0.033378264555722126
23,1,0.642444500628244,perro,gato,sra,rctrl,rctrl,0.03352213759035294
24,1,0.553045708323225,puerta,mono,nr,rctrl,rctrl,0.03342715345070246
25,1,0.481668759576678,oveja,cabra,sra,rctrl,rctrl,0.03337072169779276
26,1,0.49278497686145784,zorrino,zorro,sra,rctrl,rctrl,0.03338496931883128
27,1,0.4842581948264524,candado,cebra,nr,rctrl,rctrl,0.03321595342413275
28,1,0.5474695806310592,tijera,leon,nr,rctrl,rctrl,0.03336513439580813
29,1,0.435330747343869,burro,caballo,sra,rctrl,rctrl,0.03336848677690796
30,1,0.9402298336799504,mariposa,vaso,nr,lctrl,rctrl,0.033365972491083085
31,1,0.6807893181953659,llave,zapato,wro,lctrl,rctrl,0.03338915979566082
32,1,0.6656158813480033,tortuga,tornillo,nr,lctrl,rctrl,0.033374632809682225
33,1,0.5577842994011917,ventana,cebra,nr,rctrl,rctrl,0.03337882328605701
34,1,0.4977311362194996,bowl,caballo,nr,rctrl,rctrl,0.03337658836517221
35,1,0.7880166333989109,camello,zapato,nr,lctrl,rctrl,0.033384131223101576
36,1,0.6815279595589345,cuchara,cigarrillo,wro,lctrl,rctrl,0.033377705825841986
37,1,0.5345168170811121,gorila,mono,sra,rctrl,rctrl,0.03337854392111694
38,1,0.5313591531880775,avestruz,zapato,nr,lctrl,rctrl,0.0333771470955071
39,1,0.6590505217841383,lapiz,zorro,nr,rctrl,rctrl,0.03340005503469001
40,1,0.6319224929425218,sapo,cebra,wra,rctrl,rctrl,0.03336485503041331
41,1,0.5826220930316595,canguro,mesa,nr,lctrl,rctrl,0.03336234074413369
42,1,0.5904021321143773,sombrero,tenedor,wro,lctrl,rctrl,0.03334976931455458
43,1,0.5356465696058876,pava,zorro,nr,rctrl,rctrl,0.03335898836303386
44,1,0.5690929992501879,sobre,gato,nr,rctrl,rctrl,0.03341905186289296
45,1,0.5082469978729023,silla,mesa,sro,lctrl,rctrl,0.033354518521264254
46,1,0.5837183217417987,botella,vaso,sro,lctrl,rctrl,0.03336234074458844
47,1,0.7060428071167735,gallina,olla,nr,lctrl,rctrl,0.0335288423525526
48,1,0.5648572653785777,sarten,olla,sro,lctrl,rctrl,0.03337155979306772
49,1,0.4996419936055645,martillo,clavo,sro,lctrl,rctrl,0.03336262010952851
50,1,0.546065212198755,ardilla,vaso,nr,lctrl,rctrl,0.03338524868377135
51,1,0.5319366008807265,jirafa,cebra,sra,rctrl,rctrl,0.033362899474923324
52,1,0.4855879727733736,tuerca,gato,nr,rctrl,rctrl,0.03339726138392507
53,1,0.5214243709747279,pipa,cigarrillo,sro,lctrl,rctrl,0.03337826455617687
54,1,0.5843136488019809,jarra,cabra,nr,rctrl,rctrl,0.03339167408148569
55,1,0.5321388612242117,gallo,cigarrillo,nr,lctrl,rctrl,0.03337882328605701
56,1,0.49507605016879097,abeja,gato,wra,rctrl,rctrl,0.03328355978192121
57,1,0.4696038183624296,bota,zapato,sro,lctrl,rctrl,0.03338273439794648
58,1,0.5417082338676664,oso,olla,nr,lctrl,rctrl,0.03336150264931348
59,1,0.5729624854557187,pincel,pato,nr,rctrl,rctrl,0.03337854392111694
60,1,0.5083710359836004,conejo,clavo,nr,lctrl,rctrl,0.03336820741196789
61,1,0.4709196280532524,cuchillo,tenedor,sro,lctrl,rctrl,0.03340843598834908
62,1,0.5697291136166314,copa,pato,nr,rctrl,rctrl,0.03338105820739656
63,1,0.5781500162729571,escarabajo,leon,wra,rctrl,rctrl,0.033446709009240294
64,1,0.453831702073785,regla,clavo,wro,lctrl,rctrl,0.03337072169779276
65,1,1.58509978223492,rinoceronte,tenedor,nr,lctrl,rctrl,0.03337910265145183
66,1,0.589195554183334,escarabajo,leon,wra,rctrl,rctrl,0.03336820741151314
67,1,0.5908502337588288,jirafa,cebra,sra,rctrl,rctrl,0.03334697566333489
68,1,0.4861877696744159,lapiz,zorro,nr,rctrl,rctrl,0.03330758518222865
69,1,0.5173682688723602,puerta,mono,nr,rctrl,rctrl,0.033315128040158015
70,1,0.5785978385520139,pincel,pato,nr,rctrl,rctrl,0.03337882328651176
71,1,0.686156201416452,camello,zapato,nr,lctrl,rctrl,0.03339726138347032
72,1,0.6549553085656044,ardilla,vaso,nr,lctrl,rctrl,0.033375470904502436
73,1,0.5336865439603571,sobre,gato,nr,rctrl,rctrl,0.03340871535328915
74,1,0.42403042844807715,pipa,cigarrillo,sro,lctrl,rctrl,0.033381058206941816
75,1,0.5441286532227423,regla,clavo,wro,lctrl,rctrl,0.03347492488546777
76,1,0.49167897037204966,taza,cabra,nr,rctrl,rctrl,0.03339223281182058
77,1,0.5499489460253244,tigre,leon,sra,rctrl,rctrl,0.033414023290788464
78,1,0.5173869863347136,media,olla,wro,lctrl,rctrl,0.033336359788791015
79,1,0.7126402936683007,tijera,leon,nr,rctrl,rctrl,0.03334138836089551
80,1,0.521537793211337,abeja,gato,wra,rctrl,rctrl,0.033383572493221436
81,1,0.46412742401616924,raton,cabra,wra,rctrl,rctrl,0.03334138836089551
82,1,0.4995802539151555,oso,olla,nr,lctrl,rctrl,0.033381616937276704
83,1,0.5608198807390181,gallo,cigarrillo,nr,lctrl,rctrl,0.033291382005245396
84,1,0.6510098350490807,hacha,vaso,wro,lctrl,rctrl,0.0334321820232617
85,1,0.6807303721561766,avestruz,zapato,nr,lctrl,rctrl,0.033300042323844536
86,1,0.6313855531916488,silla,mesa,sro,lctrl,rctrl,0.03338301376288655
87,1,0.49718525678554215,chancho,tornillo,nr,lctrl,rctrl,0.033440283611525956
88,1,0.5760424858463011,hormiga,pato,wra,rctrl,rctrl,0.03330618835616406
89,1,0.46354299219592576,conejo,clavo,nr,lctrl,rctrl,0.03336094391897859
90,1,0.4761418001448874,gallina,olla,nr,lctrl,rctrl,0.033390277255875844
91,1,0.7771026764576163,tortuga,tornillo,nr,lctrl,rctrl,0.03336681058635804
92,1,0.544441821516557,perro,gato,sra,rctrl,rctrl,0.0333559153468741
93,1,0.7885451921961248,burro,caballo,sra,rctrl,rctrl,0.03339279154170072
94,1,0.7228876854460395,peine,tornillo,wro,lctrl,rctrl,0.033553705848134996
95,1,0.9167802053052583,pava,zorro,nr,rctrl,rctrl,0.03340536297218932
96,1,0.6017108319633735,escritorio,leon,nr,rctrl,rctrl,0.03345760424872424
97,1,0.8419254402442675,gorila,mono,sra,rctrl,rctrl,0.03338022011166686
98,1,0.4975582092138211,bowl,caballo,nr,rctrl,rctrl,0.03337658836517221
99,1,0.6338646392205192,aguila,mono,wra,rctrl,rctrl,0.03339977566974994
100,1,0.5584385725001084,sapo,cebra,wra,rctrl,rctrl,0.03340703916273924
101,1,0.5236148728399712,tuerca,gato,nr,rctrl,rctrl,0.03340815662340901
102,1,0.7023037844196551,elefante,mesa,nr,lctrl,rctrl,0.03336234074413369
103,1,0.5242968030852353,martillo,clavo,sro,lctrl,rctrl,0.03340787725846894
104,1,0.6045287878764611,serrucho,caballo,nr,rctrl,rctrl,0.03348805504583652
105,1,0.8385082461600177,arana,caballo,wra,rctrl,rctrl,0.03336373757019828
106,1,0.5946666405925498,ciervo,tenedor,nr,lctrl,rctrl,0.03334921058421969
107,1,0.6458097328013537,canguro,mesa,nr,lctrl,rctrl,0.033515153462303715
108,1,0.8914674909797213,sarten,olla,sro,lctrl,rctrl,0.03336345820525821
109,1,1.0601433981137234,pinza,mesa,wro,lctrl,rctrl,0.0333793820163919
110,1,1.0880625889599287,cocodrilo,cigarrillo,nr,lctrl,rctrl,0.03334306455144542
111,1,0.5423558022039288,sombrero,tenedor,wro,lctrl,rctrl,0.033387483604656154
112,1,0.5760511461649003,mariposa,vaso,nr,lctrl,rctrl,0.03333244867690155
113,1,0.48597461409190146,botella,vaso,sro,lctrl,rctrl,0.03336513439580813
114,1,0.40977749965441035,bota,zapato,sro,lctrl,rctrl,0.033360385188643704
115,1,0.681067565849844,pinguino,clavo,nr,lctrl,rctrl,0.033380499477061676
116,1,0.4454295168798126,destornillador,tornillo,sro,lctrl,rctrl,0.03335340106059448
117,1,0.5592825345124766,cuchara,cigarrillo,wro,lctrl,rctrl,0.03335842963269897
118,0,0.47283327908962747,candado,cebra,nr,lctrl,rctrl,0.033405362971734576
119,1,0.787798449244292,cama,mono,nr,rctrl,rctrl,0.033422683609387605
120,1,0.5260000921903156,copa,pato,nr,rctrl,rctrl,0.033411229639568774
121,1,0.6812687087326594,cuchillo,tenedor,sro,lctrl,rctrl,0.03338161693773145
122,1,0.6495934539166228,llave,zapato,wro,lctrl,rctrl,0.03340033440008483
123,1,0.8050545530227282,zorrino,zorro,sra,rctrl,rctrl,0.03342799154643217
124,1,0.4366521443371312,oveja,cabra,sra,rctrl,rctrl,0.03347157250436794
125,1,0.5249686761862904,mosca,zorro,wra,rctrl,rctrl,0.0333911153511508
126,1,0.7551289339849063,ventana,cebra,nr,rctrl,rctrl,0.03340089313041972
127,1,0.51349319536439,cisne,pato,sra,rctrl,rctrl,0.033384131223101576
128,1,0.6059289658323905,jarra,cabra,nr,rctrl,rctrl,0.03339782011380521
129,1,1.461130395064174,raton,cabra,wra,rctrl,rctrl,0.033377426460901916
130,1,0.7131381223030075,hacha,vaso,wro,lctrl,rctrl,0.033440283611525956
131,1,0.6341459598916117,lapiz,zorro,nr,rctrl,rctrl,0.0333360804233962
132,1,0.7662306242832528,elefante,mesa,nr,lctrl,rctrl,0.033348093123549916
133,1,0.48919932561238966,pinza,mesa,wro,lctrl,rctrl,0.033363458204803464
134,1,0.6413968814472355,oveja,cabra,sra,rctrl,rctrl,0.03339530582798034
135,1,0.5681263959527314,aguila,mono,wra,rctrl,rctrl,0.033360105823703634
136,1,1.0773874891920059,bowl,caballo,nr,rctrl,rctrl,0.03336848677690796
137,1,0.5405930083288695,cocodrilo,cigarrillo,nr,lctrl,rctrl,0.03338943916060089
138,1,0.7905781321369432,pava,zorro,nr,rctrl,rctrl,0.033384969318376534
139,1,0.7387262906318028,mosca,zorro,wra,rctrl,rctrl,0.033390277255875844
140,1,0.5683769864604074,abeja,gato,wra,rctrl,rctrl,0.03340871535328915
141,1,0.6320579850230388,camello,zapato,nr,lctrl,rctrl,0.033354518521264254
142,1,0.5382924366085717,tigre,leon,sra,rctrl,rctrl,0.033439445516251
143,1,0.48734043013837436,tuerca,gato,nr,rctrl,rctrl,0.033381616937276704
144,1,0.4596156774114206,cuchara,cigarrillo,wro,lctrl,rctrl,0.03385597890246572
145,1,0.5332825820041762,pinguino,clavo,nr,lctrl,rctrl,0.033366251856023155
146,1,0.5849388679289405,serrucho,caballo,nr,rctrl,rctrl,0.0333793820163919
147,1,0.4348248171204432,puerta,mono,nr,rctrl,rctrl,0.033327140740311734
148,1,0.5376496174794738,burro,caballo,sra,rctrl,rctrl,0.03338524868377135
149,1,0.49462571360345464,hormiga,pato,wra,rctrl,rctrl,0.03342659472082232
150,1,0.5960285455271332,chancho,tornillo,nr,lctrl,rctrl,0.03339251217676065
151,1,0.5675799577879843,regla,clavo,wro,lctrl,rctrl,0.03338636614398638
152,1,0.4465855297253256,jirafa,cebra,sra,rctrl,rctrl,0.03338049947660693
153,1,0.4524798542829558,candado,cebra,nr,rctrl,rctrl,0.03339977566974994
154,1,0.508767734446792,cuchillo,tenedor,sro,lctrl,rctrl,0.03326651851011775
155,1,0.5800147784143519,conejo,clavo,nr,lctrl,rctrl,0.03339279154170072
156,1,0.6547466228253143,escritorio,leon,nr,rctrl,rctrl,0.033383293128281366
157,1,0.5083118105790163,botella,vaso,sro,lctrl,rctrl,0.03336122328391866
158,1,0.6903754527461388,mariposa,vaso,nr,lctrl,rctrl,0.03337826455617687
159,1,0.595574577215757,sombrero,tenedor,wro,lctrl,rctrl,0.03363025188946267
160,1,0.548163523576477,gorila,mono,sra,rctrl,rctrl,0.03342435979993752
161,1,0.4561954103105563,perro,gato,sra,rctrl,rctrl,0.03338217566761159
162,1,0.5883043794669902,llave,zapato,wro,lctrl,rctrl,0.0333698836025178
163,1,0.5803701308404925,gallo,cigarrillo,nr,lctrl,rctrl,0.033377705825841986
164,1,0.6005989588061311,copa,pato,nr,rctrl,rctrl,0.03337519154001711
165,1,0.5757335080297707,jarra,cabra,nr,rctrl,rctrl,0.033357032807543874
166,1,0.8218214884850568,media,olla,wro,lctrl,rctrl,0.033371839158462535
167,1,0.5523682479197305,oso,olla,nr,lctrl,rctrl,0.033423242339267745
168,1,0.5605530870543589,canguro,mesa,nr,lctrl,rctrl,0.03335647407675424
169,1,0.6514319557372801,ventana,cebra,nr,rctrl,rctrl,0.03336429630007842
170,1,0.6195631008968121,gallina,olla,nr,lctrl,rctrl,0.033270429621552466
171,1,0.7271678383704057,bota,zapato,sro,lctrl,rctrl,0.03340620106746428
172,1,0.6507718159709839,avestruz,zapato,nr,lctrl,rctrl,0.03355230902252515
173,1,0.6570002612065764,cisne,pato,sra,rctrl,rctrl,0.03337994074672679
174,1,0.6473959679233303,sarten,olla,sro,lctrl,rctrl,0.03340117249535979
175,1,0.9255022635561545,ciervo,tenedor,nr,lctrl,rctrl,0.03340368678163941
176,1,0.5239872665379153,peine,tornillo,wro,lctrl,rctrl,0.03337323598407238
177,1,0.44042524957785645,rinoceronte,tenedor,nr,lctrl,rctrl,0.03340117249535979
178,1,0.6247229745677032,taza,cabra,nr,rctrl,rctrl,0.03338524868377135
179,1,0.5807799594640528,ardilla,vaso,nr,lctrl,rctrl,0.03336848677690796
180,1,0.5662454306338986,pipa,cigarrillo,sro,lctrl,rctrl,0.03337602963483732
181,1,0.508706832851658,silla,mesa,sro,lctrl,rctrl,0.0333852486842261
182,1,0.5812956674662928,cama,mono,nr,rctrl,rctrl,0.0333559153468741
183,1,0.522395444113954,zorrino,zorro,sra,rctrl,rctrl,0.033357032807089126
184,1,0.4836690137990445,sapo,cebra,wra,rctrl,rctrl,0.0333698836025178
185,1,0.49791384100490177,escarabajo,leon,wra,rctrl,rctrl,0.03336401693513835
186,1,0.6300540990546324,tortuga,tornillo,nr,lctrl,rctrl,0.03330562962582917
187,1,0.6771184605868257,arana,caballo,wra,rctrl,rctrl,0.03336485503041331
188,1,0.49393372621398157,tijera,leon,nr,rctrl,rctrl,0.033381616937276704
189,1,0.5390637636905922,martillo,clavo,sro,lctrl,rctrl,0.03340256932096963
190,1,0.6300814768360397,sobre,gato,nr,rctrl,rctrl,0.033366531220963225
191,1,0.6414150401797087,pincel,pato,nr,rctrl,rctrl,0.033356753442149056
192,1,0.4889006843045536,destornillador,tornillo,sro,lctrl,rctrl,0.03340592170252421
193,1,0.9804514260890755,ciervo,tenedor,nr,lctrl,rctrl,0.0333486518538848
194,1,0.4034278099588846,rinoceronte,tenedor,nr,lctrl,rctrl,0.03338273439794648
195,1,0.9036148449035863,gallo,cigarrillo,nr,lctrl,rctrl,0.03339390900237049
196,1,0.8000189968279301,arana,caballo,wra,rctrl,rctrl,0.03338468995389121
197,1,0.44816198706803334,pipa,cigarrillo,sro,lctrl,rctrl,0.033348093123549916
198,1,0.9064294484355742,mariposa,vaso,nr,lctrl,rctrl,0.03338329312782662
199,1,0.5268281303910953,martillo,clavo,sro,lctrl,rctrl,0.033377705825841986
200,1,0.5548864450652218,regla,clavo,wro,lctrl,rctrl,0.033336639153731085
201,1,0.5353702775073543,chancho,tornillo,nr,lctrl,rctrl,0.03336429630007842
202,1,0.8153513924253275,jarra,cabra,nr,rctrl,rctrl,0.033384131223556324
203,1,0.5689661674878153,perro,gato,sra,rctrl,rctrl,0.033357312172483944
204,1,0.6444754850126628,pincel,pato,nr,rctrl,rctrl,0.03337994074672679
205,1,0.6169932212051208,copa,pato,nr,rctrl,rctrl,0.03343665186503131
206,1,0.6861218395074502,conejo,clavo,nr,lctrl,rctrl,0.03335954709336875
207,1,0.5668647830939335,oso,olla,nr,lctrl,rctrl,0.03312571849210144
