Nombre,66
Apellido,9_28
Edad,18
Sexo,Femenino
Antecendente neurologico?,No
Toma alguna medicacion?,No
Trabaja?,No
Horas de sueño la noche anterior?,7
Dibujar,Alta preferencia de mano derecha
Arrojar un objeto,Alta preferencia de mano derecha
Escribir,Alta preferencia de mano derecha
Usar tijeras,Alta preferencia de mano derecha
Usa un cepillo de diente,Alta preferencia de mano derecha
Usar una cuchara,Preferencia moderada de mano derecha
Usar una escoba (La mano que va arriba),Alta preferencia de mano izquierda
Encender un fósforo,Alta preferencia de mano derecha
Abrir una caja (La mano que abre la caja),No preferencia
SYSTEM
System,Windows
Node,u-76627f80a4294
Release,XP
Version,5.1.2600
Machine,x86
Processor,"x86 Family 18 Model 1 Stepping 0, AuthenticAMD"
Screen Width,1280
Screen Height,720
""
Estimulos
Imagenes
ETAPA DE TEST
Num Trial,"Calidad respuesta (1:correcto, 0:error)",Tiempo Resp,Prime,Target,Categoria,Tecla presionada (vacio si no se presiono),Tecla para responder afirmativamente,Tiempo de aparicion del prime
-9,1,1.8631686429425827,pavo,rueda,sro,lctrl,rctrl,0.033372677253282745
-8,1,0.6305477372125097,pavo,rueda,sro,lctrl,rctrl,0.03337714709505235
-7,1,0.5387631668272661,hilo,serpiente,sra,rctrl,rctrl,0.03336736931669293
-6,1,0.5765964668689776,hilo,pavo,sra,rctrl,rctrl,0.03338245503255166
-5,1,0.5104126362430179,pavo,rueda,sro,lctrl,rctrl,0.033374074079802085
-4,1,0.5724096218928025,hilo,pavo,sra,rctrl,rctrl,0.03338189630267152
-3,1,0.5400379098464327,violin,mapache,sra,rctrl,rctrl,0.03338971852554096
-2,1,0.6333469756627892,serpiente,hilo,sro,lctrl,rctrl,0.03337351534901245
-1,1,0.5141731700541641,carro,buho,sra,rctrl,rctrl,0.03336122328437341
0,1,0.5489208824028537,hilo,serpiente,sra,rctrl,rctrl,0.03340983281395893
1,1,0.5779231717997391,tigre,leon,sra,rctrl,rctrl,0.03338580741365149
2,1,0.5068191627706256,burro,caballo,sra,rctrl,rctrl,0.03332490581942693
3,1,0.5402544178105018,gallo,cigarrillo,nr,lctrl,rctrl,0.03337100106273283
4,1,0.42684726690185926,jirafa,cebra,sra,rctrl,rctrl,0.033386086779501056
5,1,0.5134641413924328,ciervo,tenedor,nr,lctrl,rctrl,0.03338971852554096
6,1,0.44780020924463315,taza,cabra,nr,rctrl,rctrl,0.0333902772554211
7,1,0.5008446604242636,oveja,cabra,sra,rctrl,rctrl,0.033374632809682225
8,1,0.523027647368508,sombrero,tenedor,wro,lctrl,rctrl,0.03336150264931348
9,1,0.6027780067024651,hacha,vaso,wro,lctrl,rctrl,0.0335735407716129
10,1,0.5541762989432755,tijera,leon,nr,rctrl,rctrl,0.033386086779501056
11,1,0.5272496923498693,aguila,mono,wra,rctrl,rctrl,0.033382734398401226
12,1,0.40688886436691973,gorila,mono,sra,rctrl,rctrl,0.033383851859071
13,1,0.4944228945296345,serrucho,caballo,nr,rctrl,rctrl,0.03338524868377135
14,1,0.5388684874760656,cuchillo,tenedor,sro,lctrl,rctrl,0.03339279154170072
15,1,0.6112005855493408,silla,mesa,sro,lctrl,rctrl,0.033385528049620916
