Nombre,66_
Apellido,12_29
Edad,18
Sexo,Femenino
Antecendente neurologico?,No
Toma alguna medicacion?,No
Trabaja?,Si
Horas de sueño la noche anterior?,6
Dibujar,Alta preferencia de mano derecha
Arrojar un objeto,Preferencia moderada de mano derecha
Escribir,Alta preferencia de mano derecha
Usar tijeras,Alta preferencia de mano derecha
Usa un cepillo de diente,Preferencia moderada de mano derecha
Usar una cuchara,Preferencia moderada de mano derecha
Usar una escoba (La mano que va arriba),No preferencia
Encender un fósforo,Alta preferencia de mano derecha
Abrir una caja (La mano que abre la caja),No preferencia
SYSTEM
System,Windows
Node,u-76627f80a4294
Release,XP
Version,5.1.2600
Machine,x86
Processor,"x86 Family 18 Model 1 Stepping 0, AuthenticAMD"
Screen Width,1280
Screen Height,720
""
Estimulos
Imagenes
ETAPA DE TEST
Num Trial,"Calidad respuesta (1:correcto, 0:error)",Tiempo Resp,Prime,Target,Categoria,Tecla presionada (vacio si no se presiono),Tecla para responder afirmativamente,Tiempo de aparicion del prime
-9,1,1.1664828909815697,pavo,rueda,sro,lctrl,rctrl,0.03335284233071434
-8,1,0.5716964027560607,violin,mapache,sra,rctrl,rctrl,0.033407039161829744
-7,1,0.6241069744901324,buho,carro,sro,lctrl,rctrl,0.03338245503255166
-6,1,0.5576401470025303,serpiente,hilo,sro,lctrl,rctrl,0.03318382643738005
-5,1,0.5198378564873565,serpiente,hilo,sro,lctrl,rctrl,0.033362620109983254
-4,1,0.5677808213058597,rueda,pavo,sra,rctrl,rctrl,0.033364855029503815
-3,1,0.600510679429135,serpiente,hilo,sro,lctrl,rctrl,0.033387762970960466
-2,1,0.507360851728663,buho,carro,sro,lctrl,rctrl,0.03338245503255166
-1,1,0.4406900877074804,buho,carro,sro,lctrl,rctrl,0.033368207412422635
0,1,0.5982246346957254,violin,mapache,sra,rctrl,rctrl,0.033382175668521086
1,1,0.8597816202909598,pava,zorro,nr,rctrl,rctrl,0.033379382015482406
2,1,0.495323008930427,hacha,vaso,wro,lctrl,rctrl,0.03342240424535703
3,1,0.8368457443611987,gallo,cigarrillo,nr,lctrl,rctrl,0.03340368678072991
4,1,0.4762035398362059,pinguino,clavo,nr,lctrl,rctrl,0.03340284868500021
5,1,0.5348640679203527,bowl,caballo,nr,rctrl,rctrl,0.03340675979779917
6,1,0.5191372087792843,hormiga,pato,wra,rctrl,rctrl,0.03343916615085618
7,1,0.5281822131018998,sarten,olla,sro,lctrl,rctrl,0.033413185194149264
8,1,0.5171157228069205,canguro,mesa,nr,lctrl,rctrl,0.03341067090877914
9,1,0.45384511159863905,destornillador,tornillo,sro,lctrl,rctrl,0.03341569948133838
10,1,0.46164470623989473,burro,caballo,sra,rctrl,rctrl,0.033384410588041646
11,1,0.5427516625713906,chancho,tornillo,nr,lctrl,rctrl,0.0333279788337677
12,1,0.48190482310019433,jirafa,cebra,sra,rctrl,rctrl,0.033352004234984634
13,1,0.7760676287070964,tuerca,gato,nr,rctrl,rctrl,0.033381058206941816
14,1,0.5056581213539175,gallina,olla,nr,lctrl,rctrl,0.0333567534435133
15,1,0.5309403848805232,oveja,cabra,sra,rctrl,rctrl,0.0333983788441401
16,1,0.45788361369886843,elefante,mesa,nr,lctrl,rctrl,0.03340312805084977
17,1,0.48374611857070704,media,olla,wro,lctrl,rctrl,0.03340843598925858
18,1,0.4771352224925067,ardilla,vaso,nr,lctrl,rctrl,0.033363178839863394
19,1,0.5052605847940868,tigre,leon,sra,rctrl,rctrl,0.03338692487341177
20,1,0.5112300585697085,llave,zapato,wro,lctrl,rctrl,0.033393909001461
21,1,0.588806119212677,sombrero,tenedor,wro,lctrl,rctrl,0.03340256932096963
22,1,0.5392408811731002,cama,mono,nr,rctrl,rctrl,0.03339418836731056
23,0,0.4837327090463077,jarra,cabra,nr,lctrl,rctrl,0.03341569948133838
24,1,0.7123857920487353,escritorio,leon,nr,rctrl,rctrl,0.03337183915937203
25,1,0.6417675989541749,cocodrilo,cigarrillo,nr,lctrl,rctrl,0.03338413122401107
26,1,0.5136110874427686,raton,cabra,wra,rctrl,rctrl,0.03337742645999242
27,1,0.516150795701833,conejo,clavo,nr,lctrl,rctrl,0.03340284868500021
28,1,0.5514407557384402,regla,clavo,wro,lctrl,rctrl,0.03335619471363316
29,1,0.5269946320004237,copa,pato,nr,rctrl,rctrl,0.03334613756851468
30,1,0.5916939164053474,mariposa,vaso,nr,lctrl,rctrl,0.03340508360633976
31,1,0.6223715583964804,mosca,zorro,wra,rctrl,rctrl,0.03336234074413369
32,1,0.583857166204325,bota,zapato,sro,lctrl,rctrl,0.03334976931364508
33,1,0.5198881422074919,pipa,cigarrillo,sro,lctrl,rctrl,0.033385528049620916
34,1,0.489047071625464,aguila,mono,wra,rctrl,rctrl,0.033378823285602266
35,1,0.5720816472476145,zorrino,zorro,sra,rctrl,rctrl,0.03329473438679997
36,1,0.5112202807904396,perro,gato,sra,rctrl,rctrl,0.03337351534901245
37,1,0.5524643495191413,silla,mesa,sro,lctrl,rctrl,0.033331610582536086
38,1,0.5397554717146704,sapo,cebra,wra,rctrl,rctrl,0.03337519153865287
39,1,0.5369852872372576,martillo,clavo,sro,lctrl,rctrl,0.03338692487523076
40,1,0.5738391331869934,escarabajo,leon,wra,rctrl,rctrl,0.03333133121668652
41,1,0.7631246429373277,taza,cabra,nr,rctrl,rctrl,0.03337295661913231
42,1,0.5101679124018119,arana,caballo,wra,rctrl,rctrl,0.033371001061823335
43,1,0.5587081598368968,rinoceronte,tenedor,nr,lctrl,rctrl,0.03336122328437341
44,1,0.5424334657054715,tortuga,tornillo,nr,lctrl,rctrl,0.03333272804229637
45,1,0.545334113692661,abeja,gato,wra,rctrl,rctrl,0.03340620106791903
46,1,1.2369404491364548,pincel,pato,nr,rctrl,rctrl,0.03335060741119378
47,1,0.6299853752352647,pinza,mesa,wro,lctrl,rctrl,0.033460677264884
48,1,0.4185353166394634,botella,vaso,sro,lctrl,rctrl,0.03328775025875075
49,1,0.5710549804516631,cisne,pato,sra,rctrl,rctrl,0.03339027725633059
50,1,0.5714659265358932,sobre,gato,nr,rctrl,rctrl,0.03336681058681279
51,1,0.49399015796552703,tijera,leon,nr,rctrl,rctrl,0.03339279154170072
52,1,0.5620233856534469,cuchillo,tenedor,sro,lctrl,rctrl,0.033379382017301396
